From,To,Count
Deciduous Forest,Deciduous Forest,1721
Alfalfa,Alfalfa,1152
Corn,Corn,812
Herbaceous Wetlands,Herbaceous Wetlands,616
Woody Wetlands,Deciduous Forest,534
Corn,Soybeans,481
Deciduous Forest,Woody Wetlands,473
Alfalfa,Corn,415
Soybeans,Corn,415
Grassland/Pasture,Grassland/Pasture,393
Woody Wetlands,Woody Wetlands,364
Other Hay/Non Alfalfa,Other Hay/Non Alfalfa,361
Corn,Alfalfa,346
Deciduous Forest,Herbaceous Wetlands,234
Evergreen Forest,Evergreen Forest,218
Evergreen Forest,Deciduous Forest,202
Herbaceous Wetlands,Deciduous Forest,173
Woody Wetlands,Herbaceous Wetlands,162
Deciduous Forest,Evergreen Forest,128
Developed/Low Intensity,Developed/Low Intensity,127
Soybeans,Alfalfa,111
Mixed Forest,Deciduous Forest,95
Herbaceous Wetlands,Woody Wetlands,89
Alfalfa,Other Hay/Non Alfalfa,83
Evergreen Forest,Woody Wetlands,82
Fallow/Idle Cropland,Corn,82
Soybeans,Soybeans,74
Open Water,Herbaceous Wetlands,74
Deciduous Forest,Grassland/Pasture,71
Developed/Open Space,Developed/Open Space,71
Other Hay/Non Alfalfa,Corn,68
Grassland/Pasture,Herbaceous Wetlands,62
Herbaceous Wetlands,Grassland/Pasture,62
Shrubland,Deciduous Forest,57
Other Hay/Non Alfalfa,Alfalfa,56
Woody Wetlands,Evergreen Forest,55
Fallow/Idle Cropland,Alfalfa,53
Grassland/Pasture,Deciduous Forest,52
Open Water,Open Water,52
Herbaceous Wetlands,Open Water,51
Developed/Med Intensity,Developed/Med Intensity,51
Grassland/Pasture,Corn,51
Alfalfa,Soybeans,46
Corn,Winter Wheat,43
Deciduous Forest,Mixed Forest,43
Grassland/Pasture,Other Hay/Non Alfalfa,39
Soybeans,Winter Wheat,37
Mixed Forest,Evergreen Forest,37
Evergreen Forest,Herbaceous Wetlands,35
Corn,Other Hay/Non Alfalfa,33
Shrubland,Herbaceous Wetlands,33
Grassland/Pasture,Alfalfa,32
Developed/Low Intensity,Developed/Open Space,30
Deciduous Forest,Shrubland,30
Other Hay/Non Alfalfa,Grassland/Pasture,30
Fallow/Idle Cropland,Grassland/Pasture,27
Winter Wheat,Corn,27
Herbaceous Wetlands,Evergreen Forest,24
Oats,Alfalfa,23
Shrubland,Grassland/Pasture,23
Developed/Open Space,Developed/Low Intensity,22
Corn,Grassland/Pasture,21
Clover/Wildflowers,Other Hay/Non Alfalfa,21
Corn,Oats,20
Evergreen Forest,Mixed Forest,20
Mixed Forest,Woody Wetlands,20
Oats,Corn,18
Grassland/Pasture,Shrubland,18
Clover/Wildflowers,Alfalfa,17
Corn,Dry Beans,17
Alfalfa,Winter Wheat,16
Evergreen Forest,Grassland/Pasture,16
