contract_supplier_id,bought_amount,contract_date,has_insurance,is_terminated,material_id,no_money_penalty,price_per_unit,supplier_id,terminate_penalty,transport_type,transportation_cost,team_id
1,8000,2021-12-19,0,0,15,0,25,9,98000,3,33000,90
2,8000,2021-12-19,1,0,3,0,8,1,31360,3,188685,204
3,1000,2021-12-20,1,0,2,0,80,12,39200,2,136500,107
4,1000,2021-12-27,1,0,2,0,80,12,39200,2,136500,107
5,1000,2022-01-03,1,0,2,0,80,12,39200,2,136500,107
6,1000,2022-01-10,1,0,2,0,80,12,39200,2,136500,107
7,1000,2022-01-17,1,0,2,0,80,12,39200,2,136500,107
8,1000,2022-01-24,1,0,2,0,108,12,39200,2,136500,107
9,1000,2022-01-31,1,0,2,0,102.6,12,39200,2,136500,107
10,1000,2022-02-07,1,0,2,0,107.73,12,39200,2,136500,107
11,1000,2022-02-14,1,0,2,0,80.7975,12,39200,2,136500,107
12,1000,2022-02-21,1,0,2,0,84.8374,12,39200,2,136500,107
13,16000,2021-12-20,0,0,12,0,30,7,235200,3,192600,90
14,100000,2021-12-20,1,0,1,0,4,1,196000,3,50715,169
15,8000,2021-12-20,0,0,5,0,20,9,78400,3,33000,90
16,200000,2021-12-20,0,0,1,0,4,5,392000,3,94800,97
17,8000,2021-12-20,0,0,5,0,20,9,78400,3,33000,90
18,3000,2021-12-20,1,0,11,0,30,3,44100,1,103950,204
19,4000,2021-12-21,1,0,14,0,20,1,39200,0,2420250,204
20,12800,2021-12-21,1,0,3,0,8,10,50176,3,68040,51
21,12800,2021-12-28,1,0,3,0,8,10,50176,3,68040,51
22,12800,2022-01-04,1,0,3,52224,8,10,50176,3,NULL,51
23,12800,2022-01-11,1,0,3,52224,8,10,50176,3,NULL,51
24,16000,2021-12-21,1,0,1,0,4,5,31360,0,2661750,67
25,16000,2021-12-28,1,0,1,0,4,5,31360,0,2661750,67
26,16000,2022-01-04,1,0,1,0,4,5,31360,0,2661750,67
27,16000,2022-01-11,1,0,1,0,4,5,31360,0,2661750,67
28,16000,2022-01-18,1,0,1,0,4,5,31360,0,2661750,67
29,3200,2021-12-21,0,0,1,0,4,5,6272,0,1080000,158
30,4,2021-12-21,1,0,14,0,20,5,39.2,0,855750,8
31,50000,2021-12-21,1,0,3,0,8,1,196000,1,78907.5,169
32,1000,2021-12-21,0,0,15,0,25,3,12250,0,4505000,35
33,8000,2021-12-21,1,0,3,0,8,2,31360,3,122535,117
34,8000,2021-12-28,1,0,3,0,8,2,31360,3,122535,117
35,8000,2022-01-04,1,0,3,0,8,2,31360,3,122535,117
36,8000,2022-01-11,1,0,3,0,8,2,31360,3,122535,117
37,1000,2021-12-21,1,0,15,0,25,1,12250,0,2420250,204
38,1200,2021-12-21,1,0,11,0,30,6,17640,2,247380,12
39,10000,2021-12-21,0,0,15,0,25,1,122500,1,261900,65
40,1600,2021-12-21,1,0,1,0,4,7,3136,3,155925,215
41,1600,2021-12-28,1,0,1,0,4,7,3136,3,155925,215
42,1600,2022-01-04,1,0,1,0,4,7,3136,3,155925,215
43,1600,2022-01-11,1,0,1,0,4,7,3136,3,155925,215
44,1600,2022-01-18,1,0,1,0,4,7,3136,3,155925,215
45,1600,2022-01-25,1,0,1,0,2,7,3136,3,155925,215
46,1600,2022-02-01,1,0,1,0,2.3,7,3136,3,155925,215
47,1600,2022-02-08,1,0,1,0,2.185,7,3136,3,155925,215
48,1600,2022-02-15,1,0,1,0,2.29425,7,3136,3,155925,215
49,1600,2022-02-22,1,0,1,0,2.98252,7,3136,3,155925,215
50,100000,2021-12-21,1,0,1,0,4,13,196000,2,49980,188
51,100000,2021-12-28,1,0,1,0,4,13,196000,2,49980,188
52,1000,2021-12-21,1,0,2,0,80,4,39200,0,2226000,165
53,20,2021-12-21,0,0,15,0,25,13,245,1,50850,55
54,1000,2021-12-28,1,0,2,0,80,4,39200,0,2226000,165
55,1000,2022-01-04,1,0,2,0,80,4,39200,0,2226000,165
56,1000,2022-01-11,1,0,2,0,80,4,39200,0,2226000,165
57,1000,2022-01-18,1,0,2,0,80,4,39200,0,2226000,165
58,1000,2022-01-25,1,0,2,0,76,4,39200,0,2226000,165
