From,To,Count
Deciduous Forest,Deciduous Forest,1418
Alfalfa,Alfalfa,942
Corn,Corn,798
Grassland/Pasture,Grassland/Pasture,557
Corn,Soybeans,555
Alfalfa,Other Hay/Non Alfalfa,532
Soybeans,Corn,483
Deciduous Forest,Woody Wetlands,455
Woody Wetlands,Woody Wetlands,439
Woody Wetlands,Deciduous Forest,434
Alfalfa,Corn,410
Herbaceous Wetlands,Herbaceous Wetlands,314
Grassland/Pasture,Deciduous Forest,273
Deciduous Forest,Grassland/Pasture,271
Grassland/Pasture,Other Hay/Non Alfalfa,265
Evergreen Forest,Evergreen Forest,262
Alfalfa,Grassland/Pasture,212
Herbaceous Wetlands,Grassland/Pasture,183
Herbaceous Wetlands,Deciduous Forest,166
Grassland/Pasture,Alfalfa,166
Grassland/Pasture,Corn,158
Corn,Alfalfa,149
Deciduous Forest,Evergreen Forest,123
Grassland/Pasture,Herbaceous Wetlands,104
Deciduous Forest,Herbaceous Wetlands,100
Developed/Open Space,Developed/Open Space,96
Developed/Low Intensity,Developed/Low Intensity,92
Open Water,Open Water,92
Herbaceous Wetlands,Woody Wetlands,88
Corn,Grassland/Pasture,86
Evergreen Forest,Deciduous Forest,80
Corn,Other Hay/Non Alfalfa,79
Mixed Forest,Deciduous Forest,78
Soybeans,Soybeans,76
Woody Wetlands,Grassland/Pasture,65
Deciduous Forest,Mixed Forest,62
Woody Wetlands,Herbaceous Wetlands,51
Deciduous Forest,Other Hay/Non Alfalfa,50
Mixed Forest,Evergreen Forest,46
Alfalfa,Deciduous Forest,45
Evergreen Forest,Woody Wetlands,43
Woody Wetlands,Evergreen Forest,42
Grassland/Pasture,Woody Wetlands,41
Alfalfa,Soybeans,40
Winter Wheat,Corn,40
Oats,Alfalfa,39
Herbaceous Wetlands,Other Hay/Non Alfalfa,39
Developed/Low Intensity,Developed/Open Space,38
Soybeans,Alfalfa,38
Mixed Forest,Mixed Forest,35
Deciduous Forest,Corn,35
Corn,Deciduous Forest,34
Grassland/Pasture,Evergreen Forest,34
