From,To,Count
Deciduous Forest,4,502
Deciduous Forest,2,460
Deciduous Forest,5,412
Deciduous Forest,6,393
Alfalfa,5,368
Alfalfa,4,366
Alfalfa,6,323
Woody Wetlands,4,312
Corn,5,296
Woody Wetlands,6,292
Corn,6,281
Corn,7,274
Deciduous Forest,7,264
Corn,8,245
Woody Wetlands,5,238
Alfalfa,7,230
Corn,4,211
Herbaceous Wetlands,5,200
Soybeans,8,200
Deciduous Forest,3,199
Soybeans,7,190
Herbaceous Wetlands,6,189
Soybeans,6,183
Alfalfa,3,182
Deciduous Forest,8,177
Woody Wetlands,7,166
Herbaceous Wetlands,4,161
Herbaceous Wetlands,7,160
Woody Wetlands,3,155
Alfalfa,8,147
Soybeans,9,144
Alfalfa,2,142
Corn,9,139
Soybeans,5,128
Other Hay/Non Alfalfa,5,126
Herbaceous Wetlands,2,125
Grassland/Pasture,6,117
Other Hay/Non Alfalfa,6,117
Grassland/Pasture,7,113
Other Hay/Non Alfalfa,7,112
Woody Wetlands,8,111
Corn,3,110
Herbaceous Wetlands,8,108
Grassland/Pasture,5,106
Evergreen Forest,4,100
Grassland/Pasture,4,100
Evergreen Forest,6,98
Soybeans,10,91
Evergreen Forest,2,90
Evergreen Forest,5,87
Alfalfa,9,85
Deciduous Forest,9,84
Corn,10,83
Other Hay/Non Alfalfa,8,81
Evergreen Forest,7,75
Herbaceous Wetlands,3,73
Woody Wetlands,2,73
Grassland/Pasture,8,71
Soybeans,4,69
Evergreen Forest,8,60
Herbaceous Wetlands,9,51
Other Hay/Non Alfalfa,4,51
Developed/Low Intensity,2,48
Evergreen Forest,3,45
Corn,2,45
Grassland/Pasture,3,41
Mixed Forest,6,40
Mixed Forest,7,39
Woody Wetlands,9,35
Other Hay/Non Alfalfa,9,32
Soybeans,3,31
Open Water,2,31
Other Hay/Non Alfalfa,3,30
Mixed Forest,8,30
Evergreen Forest,9,29
Developed/Low Intensity,3,29
Developed/Open Space,3,28
Developed/Low Intensity,4,27
Grassland/Pasture,2,26
Grassland/Pasture,9,25
Shrubland,6,25
Open Water,4,25
Alfalfa,10,24
Mixed Forest,5,24
Developed/Open Space,4,20
Developed/Med Intensity,3,19
Developed/Open Space,2,19
Developed/Low Intensity,5,18
Open Water,5,17
Developed/Med Intensity,1,17
Fallow/Idle Cropland,8,17
Mixed Forest,4,16
Shrubland,7,16
Soybeans,2,16
Mixed Forest,3,16
Potatoes,9,15
Corn,1,15
Mixed Forest,9,15
Winter Wheat,7,14
Woody Wetlands,1,14
Open Water,6,14
Developed/Med Intensity,2,13
Winter Wheat,5,13
Deciduous Forest,10,13
Shrubland,8,13
Winter Wheat,8,13
Developed/Low Intensity,6,13
Shrubland,3,12
Shrubland,5,12
Shrubland,4,12
Winter Wheat,6,11
Alfalfa,1,11
Dry Beans,10,11
Developed/Open Space,5,11
Developed/Med Intensity,5,10
Developed/Low Intensity,1,10
Winter Wheat,9,9
Oats,6,9
Herbaceous Wetlands,10,9
Potatoes,8,9
Woody Wetlands,10,8
Open Water,7,8
Dry Beans,8,8
Developed/Open Space,6,8
Fallow/Idle Cropland,7,8
Open Water,3,8
Developed/Open Space,7,8
Evergreen Forest,10,7
Shrubland,9,7
Winter Wheat,4,7
Fallow/Idle Cropland,5,7
Fallow/Idle Cropland,9,7
Winter Wheat,10,7
Developed/Open Space,1,7
Oats,9,6
Oats,7,6
Oats,8,6
Clover/Wildflowers,7,6
Developed/Med Intensity,6,5
Developed/Med Intensity,4,5
Potatoes,10,5
Clover/Wildflowers,6,5
Developed/Low Intensity,8,5
Other Hay/Non Alfalfa,10,5
Mixed Forest,2,5
Fallow/Idle Cropland,6,5
Developed/High Intensity,1,4
Cucumbers,8,4
Dry Beans,9,4
Dry Beans,7,4
Deciduous Forest,1,4
Developed/Low Intensity,7,4
Other Hay/Non Alfalfa,1,4
Clover/Wildflowers,8,4
Clover/Wildflowers,5,4
Barren,4,4
Soybeans,1,3
Shrubland,10,3
Clover/Wildflowers,4,3
Winter Wheat,3,3
Developed/High Intensity,2,3
Shrubland,2,3
Grassland/Pasture,10,3
Mixed Forest,10,3
Fallow/Idle Cropland,1,2
Oats,10,2
Dry Beans,4,2
Barren,5,2
Barren,7,2
Fallow/Idle Cropland,10,2
Oats,3,2
Fallow/Idle Cropland,4,2
Dry Beans,2,2
Sweet Potatoes,10,2
Developed/Open Space,8,2
Potatoes,6,2
Clover/Wildflowers,9,2
Other Hay/Non Alfalfa,2,2
Oats,5,2
Rye,8,2
Potatoes,7,2
Rye,4,2
Herbaceous Wetlands,1,2
Developed/High Intensity,5,2
Evergreen Forest,1,2
Herbs,9,1
Barren,6,1
Barren,9,1
Clover/Wildflowers,3,1
Barren,10,1
Christmas Trees,1,1
Christmas Trees,4,1
Herbs,8,1
Barley,8,1
Christmas Trees,8,1
Christmas Trees,9,1
Clover/Wildflowers,2,1
Herbs,4,1
Dry Beans,5,1
Rye,9,1
Herbs,10,1
Squash,9,1
Spring Wheat,8,1
Herbs,6,1
Oats,2,1
Fallow/Idle Cropland,3,1
Oats,1,1
Developed/High Intensity,4,1
Open Water,8,1
Cucumbers,10,1
Developed/High Intensity,3,1
Sorghum,6,1
Potatoes,5,1
