StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q2_1,Q2_2,Q2_3,Q2_4,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q12_1,Q13_1,Q14_1,Q15,Q16,Q17,Q18,Q19
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Imagine your friend is preparing to apply for a job and they have asked you for help. The organization they are applying to has adopted a tool that analyzes four key components of the application to make a recommendation. These components are: CV, Cover Letter, LinkedIn profile, and interview score provided by the interviewer. 



Your friend has provided their material to you and you want to help them by suggesting how your friend should allocate their remaining time to improving each of these factors. Your actionable suggestions are:

	Improving the CV by rewriting and searching for a better template,
	Improving the cover letter by having more experienced people comment on it,
	Improving the LinkedIn profile by taking skill tests,
	Studying common interview questions, and prepare structured and thoughtful responses.



The organization has indicated that each element's influence on the ultimate verdict varies in significance as shown below: 





How would you suggest them distribute their time across the four components mentioned above? Insert the percentage of time you suggest they contribute to each component (percentage). - CV Preparation:","Imagine your friend is preparing to apply for a job and they have asked you for help. The organization they are applying to has adopted a tool that analyzes four key components of the application to make a recommendation. These components are: CV, Cover Letter, LinkedIn profile, and interview score provided by the interviewer. 



Your friend has provided their material to you and you want to help them by suggesting how your friend should allocate their remaining time to improving each of these factors. Your actionable suggestions are:

	Improving the CV by rewriting and searching for a better template,
	Improving the cover letter by having more experienced people comment on it,
	Improving the LinkedIn profile by taking skill tests,
	Studying common interview questions, and prepare structured and thoughtful responses.



The organization has indicated that each element's influence on the ultimate verdict varies in significance as shown below: 





How would you suggest them distribute their time across the four components mentioned above? Insert the percentage of time you suggest they contribute to each component (percentage). - Cover letter revision","Imagine your friend is preparing to apply for a job and they have asked you for help. The organization they are applying to has adopted a tool that analyzes four key components of the application to make a recommendation. These components are: CV, Cover Letter, LinkedIn profile, and interview score provided by the interviewer. 



Your friend has provided their material to you and you want to help them by suggesting how your friend should allocate their remaining time to improving each of these factors. Your actionable suggestions are:

	Improving the CV by rewriting and searching for a better template,
	Improving the cover letter by having more experienced people comment on it,
	Improving the LinkedIn profile by taking skill tests,
	Studying common interview questions, and prepare structured and thoughtful responses.



The organization has indicated that each element's influence on the ultimate verdict varies in significance as shown below: 





How would you suggest them distribute their time across the four components mentioned above? Insert the percentage of time you suggest they contribute to each component (percentage). - LinkedIn skills tests","Imagine your friend is preparing to apply for a job and they have asked you for help. The organization they are applying to has adopted a tool that analyzes four key components of the application to make a recommendation. These components are: CV, Cover Letter, LinkedIn profile, and interview score provided by the interviewer. 



Your friend has provided their material to you and you want to help them by suggesting how your friend should allocate their remaining time to improving each of these factors. Your actionable suggestions are:

	Improving the CV by rewriting and searching for a better template,
	Improving the cover letter by having more experienced people comment on it,
	Improving the LinkedIn profile by taking skill tests,
	Studying common interview questions, and prepare structured and thoughtful responses.



The organization has indicated that each element's influence on the ultimate verdict varies in significance as shown below: 





How would you suggest them distribute their time across the four components mentioned above? Insert the percentage of time you suggest they contribute to each component (percentage). - Practicing interview questions","Imagine your friend is preparing to apply for a job and they have asked you for help. The organization they are applying to has adopted a tool that analyzes four key components of the application to make a recommendation. These components are: CV, Cover Letter, LinkedIn profile, and interview score provided by the interviewer.



Your friend has provided their material to you and you want to help them by suggesting how your friend should allocate their remaining time to improving each of these factors. Your actionable suggestions are:

	Improving the CV by rewriting and searching for a better template,
	Improving the cover letter by having more experienced people comment on it,
	Improving the LinkedIn profile by taking skill tests,
	Studying common interview questions, and prepare structured and thoughtful responses.



The organization has indicated that each element's influence on the ultimate verdict varies in significance as shown below:





How would you suggest them distribute their time across the four components mentioned above? Insert the percentage of time you suggest they contribute to each component (percentage). - CV Preparation:","Imagine your friend is preparing to apply for a job and they have asked you for help. The organization they are applying to has adopted a tool that analyzes four key components of the application to make a recommendation. These components are: CV, Cover Letter, LinkedIn profile, and interview score provided by the interviewer.



Your friend has provided their material to you and you want to help them by suggesting how your friend should allocate their remaining time to improving each of these factors. Your actionable suggestions are:

	Improving the CV by rewriting and searching for a better template,
	Improving the cover letter by having more experienced people comment on it,
	Improving the LinkedIn profile by taking skill tests,
	Studying common interview questions, and prepare structured and thoughtful responses.



The organization has indicated that each element's influence on the ultimate verdict varies in significance as shown below:





How would you suggest them distribute their time across the four components mentioned above? Insert the percentage of time you suggest they contribute to each component (percentage). - Cover letter revision","Imagine your friend is preparing to apply for a job and they have asked you for help. The organization they are applying to has adopted a tool that analyzes four key components of the application to make a recommendation. These components are: CV, Cover Letter, LinkedIn profile, and interview score provided by the interviewer.



Your friend has provided their material to you and you want to help them by suggesting how your friend should allocate their remaining time to improving each of these factors. Your actionable suggestions are:

	Improving the CV by rewriting and searching for a better template,
	Improving the cover letter by having more experienced people comment on it,
	Improving the LinkedIn profile by taking skill tests,
	Studying common interview questions, and prepare structured and thoughtful responses.



The organization has indicated that each element's influence on the ultimate verdict varies in significance as shown below:





How would you suggest them distribute their time across the four components mentioned above? Insert the percentage of time you suggest they contribute to each component (percentage). - LinkedIn skills test","Imagine your friend is preparing to apply for a job and they have asked you for help. The organization they are applying to has adopted a tool that analyzes four key components of the application to make a recommendation. These components are: CV, Cover Letter, LinkedIn profile, and interview score provided by the interviewer.



Your friend has provided their material to you and you want to help them by suggesting how your friend should allocate their remaining time to improving each of these factors. Your actionable suggestions are:

	Improving the CV by rewriting and searching for a better template,
	Improving the cover letter by having more experienced people comment on it,
	Improving the LinkedIn profile by taking skill tests,
	Studying common interview questions, and prepare structured and thoughtful responses.



The organization has indicated that each element's influence on the ultimate verdict varies in significance as shown below:





How would you suggest them distribute their time across the four components mentioned above? Insert the percentage of time you suggest they contribute to each component (percentage). - Practicing interview questions",The system was easy to use - Your answer:,The explanation of how the tool works was useful for my goals - Your answer:,Rate your satisfaction with the explanation - Your answer:,I understand the explanation of how the tool works - Your answer:,How confident are you in your answer? - Your answer:,"Assume the organization's tool gives the following weights: CV (30%), Cover Letter (25%), LinkedIn (15%), and Interview (30%). If your friend spends equal amounts of time (25% each) on all components, how likely do you think it would be for them to receive a positive recommendation? - Your answer:",Do you think that the system is trustworthy? - Your answer:,Is the tool efficient at what it does? - Your answer:,What is your confidence in the tool? - Your answer:,How difficult was the task? - Your answer:,How successful were you at the task? - Your answer:,How mentally demanding was the task? - Your answer:,Please state your gender.,How old are you? (e.g. 19),Please state your race/ethnicity. (Select all that apply),What is the highest level of education you have completed?,What is your total household income?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}"
2024-02-26 14:15:09,2024-02-26 14:15:14,Survey Preview,,100,4,True,2024-02-26 14:15:15,R_1FPKAppOnADiytK,,,,,32.8509,-117.2722,preview,EN,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
2024-02-28 10:37:06,2024-02-28 10:41:09,Survey Preview,,100,242,True,2024-02-28 10:41:10,R_1q3lKyq7KADug93,,,,,32.8595,-117.2124,preview,EN,,,,,10,20,40,30,,,,,,,,,,,,,,,,,
2024-03-05 15:44:40,2024-03-05 15:45:13,Survey Preview,,100,32,True,2024-03-05 15:45:14,R_1DLQ89IHLv8BVMg,,,,,32.8595,-117.2124,preview,EN,,,,,0.1,0.3,0.2,0.4,Extremely difficult,,,,,,,,,,,,,,,,
2024-04-25 12:28:08,2024-04-25 12:28:43,Survey Preview,,100,34,True,2024-04-25 12:28:44,R_1VkAsmOfZpCHmWY,,,,,32.8595,-117.2124,preview,EN,90,1,9,0,,,,,Somewhat easy,,,6,,,Very dangerous,,,,,,,,,,
2024-05-21 19:14:06,2024-05-21 19:30:21,Survey Preview,,100,974,True,2024-05-21 19:30:21,R_1EAqUe2lkVqAjf6,,,,,33.9451,-118.0817,preview,EN,100,0,0,0,,,,,,,,,,,,,,,,,,,,,
2024-08-14 10:31:29,2024-08-14 10:31:29,Survey Test,,100,0,True,2024-08-14 10:31:30,R_001RHmal9PxgTzw,,,,,,,test,,20,24,15,41,,,,,Neither easy nor difficult,Somewhat disagree,Somewhat dissatisfied,Not well at all,Very unsure,Extremely unlikely,Very safe,Definitely not,Click to write Scale Point 5,Somewhat easy,Somewhat unsuccessful,Somewhat low,,,,,
2024-08-14 10:31:30,2024-08-14 10:31:30,Survey Test,,100,0,True,2024-08-14 10:31:30,R_07ZvLOomcBNiC3Q,,,,,,,test,,,,,,51,29,7,13,,,,Moderately well,Neither confident nor unsure,Extremely likely,Somewhat dangerous,Might or might not,Click to write Scale Point 5,Extremely difficult,Neither successful nor unsuccessful,Very higher,Female,14321658,White,"Technical, trade or vocational school AFTER high school","$35,000 to $49,999"
2024-08-14 10:31:30,2024-08-14 10:31:30,Survey Test,,100,0,True,2024-08-14 10:31:30,R_5mBB1NBMzUrJ1hY,,,,,,,test,,62,38,0,0,,,,,Somewhat difficult,Somewhat disagree,Extremely dissatisfied,Slightly well,Somewhat confident,Extremely likely,Somewhat safe,Definitely yes,Click to write Scale Point 4,Neither easy nor difficult,Somewhat unsuccessful,Very low,,,,,
