Progress,Duration (in seconds),Finished,QID1,QID31_1,QID31_2,QID27_1,QID27_2,QID28_1,QID28_2,QID28_3,QID28_4,QID30_1,QID30_2,QID30_3,QID30_4,QID3_1,QID7_1,QID8_1,QID4_1,QID9_1,QID10_1,QID5_1,QID11_1,QID12_1,QID6_1,QID13_1,QID15_1,QID22_1,QID22_2,QID22_3,QID22_4,QID22_5,QID22_6,QID16,QID16_4_TEXT,QID17,QID18,QID19,QID20
"{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""QID1""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_4_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}"
100,252,TRUE,I agree,,,,,,,,,8,1,1,0,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Very confident,No,Neither safe nor dangerous,Might or might not,A moderate amount,Somewhat difficult,Very successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,32,White,"4 year degree (e.g. BA, BS)","$75,000 to $99,999"
100,265,TRUE,I agree,,,,,,,,,3,3,2,2,Extremely easy,Strongly agree,Extremely satisfied,Very well,Very confident,No,Neither safe nor dangerous,Might or might not,A moderate amount,Extremely easy,Very successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,58,"Hispanic, Latino, or Spanish,White","4 year degree (e.g. BA, BS)","Over $100,000"
100,219,TRUE,I agree,,,,,,,,,5,5,0,0,Somewhat easy,Somewhat disagree,Neither satisfied nor dissatisfied,Moderately well,Somewhat confident,No,Neither safe nor dangerous,Probably not,A little,Somewhat easy,Somewhat unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Male,,41,White,"2 year degree (e.g. AA, AS)","$50,000 to $74,999"
100,234,TRUE,I agree,,,,,,,,,1,4,2,3,Neither easy nor difficult,Somewhat disagree,Somewhat dissatisfied,Not well at all,Somewhat unsure,No,Neither safe nor dangerous,Probably yes,A little,Somewhat difficult,Somewhat unsuccessful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,31,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","$75,000 to $99,999"
100,510,TRUE,I agree,,,,,,,,,2,3,4,1,Somewhat easy,Somewhat disagree,Neither satisfied nor dissatisfied,Very well,Very confident,No,Somewhat dangerous,Probably not,None at all,Neither easy nor difficult,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,39,White,"4 year degree (e.g. BA, BS)","$50,000 to $74,999"
100,192,TRUE,I agree,,,,,,,,,4,3,3,0,Somewhat easy,Somewhat agree,Somewhat satisfied,Very well,Somewhat unsure,No,Somewhat dangerous,Probably not,A little,Somewhat difficult,Neither successful nor unsuccessful,somewhat high,Not familiar at all,Not familiar at all,Moderately familiar,Not familiar at all,Not familiar at all,Moderately familiar,Male,,24,"Hispanic, Latino, or Spanish","4 year degree (e.g. BA, BS)","Over $100,000"
100,334,TRUE,I agree,,,,,,,,,0,4,2,4,Neither easy nor difficult,Somewhat agree,Somewhat satisfied,Moderately well,Neither confident nor unsure,No,Neither safe nor dangerous,Might or might not,A moderate amount,Somewhat easy,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,53,White,"Some college, no degree","$20,000 to $34,999"
100,126,TRUE,I agree,,,,,,,,,4,3,1,2,Extremely easy,Strongly agree,Extremely satisfied,Very well,Very confident,No,Very safe,Definitely yes,A great deal,Extremely easy,Very successful,Very low,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,Slightly familiar,Female,,23,Asian,"2 year degree (e.g. AA, AS)","$20,000 to $34,999"
100,131,TRUE,I agree,,,,,,,,,6,1,1,2,Neither easy nor difficult,Somewhat agree,Neither satisfied nor dissatisfied,Moderately well,Somewhat confident,No,Neither safe nor dangerous,Probably yes,A moderate amount,Neither easy nor difficult,Somewhat unsuccessful,Somewhat low,Moderately familiar,Moderately familiar,Very familiar,Slightly familiar,Moderately familiar,Moderately familiar,Male,,32,Asian,"Technical, trade or vocational school AFTER high school","$20,000 to $34,999"
