Duration (in seconds),QID31_1,QID31_2,QID3_1,QID7_1,QID8_1,QID4_1,QID9_1,QID10_1,QID5_1,QID11_1,QID12_1,QID6_1,QID13_1,QID15_1,QID22_1,QID22_2,QID22_3,QID22_4,QID22_5,QID22_6,QID16,QID16_4_TEXT,QID17,QID18,QID19,QID20
"{""ImportId"":""duration""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_4_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}"
218,4,6,Extremely easy,Somewhat agree,Somewhat satisfied,Very well,Somewhat confident,No,Neither safe nor dangerous,Probably yes,A moderate amount,Somewhat easy,Very successful,Somewhat low,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,31,"Black, African American","4 year degree (e.g. BA, BS)","$50,000 to $74,999"
179,5,5,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Very confident,No,Neither safe nor dangerous,Might or might not,A little,Extremely easy,Very successful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Non-binary / gender non-conforming,,24,White,"4 year degree (e.g. BA, BS)",Prefer not to answer
166,6,4,Somewhat easy,Strongly agree,Extremely satisfied,Moderately well,Somewhat confident,No,Neither safe nor dangerous,Probably not,A little,Somewhat easy,Somewhat successful,Somewhat low,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,38,Asian,"4 year degree (e.g. BA, BS)","$75,000 to $99,999"
144,5,5,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Very confident,No,Very safe,Definitely yes,A great deal,Extremely easy,Very successful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,33,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","Over $100,000"
373,5,5,Somewhat easy,Strongly agree,Extremely satisfied,Very well,Somewhat confident,No,Neither safe nor dangerous,Probably not,A little,Somewhat easy,Somewhat successful,Neither low nor high,Not familiar at all,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Female,,22,"Black, African American","4 year degree (e.g. BA, BS)","Over $100,000"
189,6,4,Somewhat easy,Somewhat agree,Extremely satisfied,Very well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Male,,22,White,"4 year degree (e.g. BA, BS)","$75,000 to $99,999"
195,6,4,Somewhat easy,Somewhat agree,Neither satisfied nor dissatisfied,Very well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,38,White,"Technical, trade or vocational school AFTER high school",Prefer not to answer
419,4.5,5.5,Somewhat easy,Somewhat agree,Somewhat satisfied,Very well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Extremely easy,Somewhat successful,Very low,Slightly familiar,Moderately familiar,Not familiar at all,Slightly familiar,Not familiar at all,Not familiar at all,Female,,55,White,"4 year degree (e.g. BA, BS)","Over $100,000"
98,5,5,Somewhat easy,Somewhat agree,Somewhat satisfied,Very well,Somewhat confident,No,Neither safe nor dangerous,Might or might not,A moderate amount,Extremely easy,Very successful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Male,,32,White,"Some college, no degree","$20,000 to $34,999"
213,6,4,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Somewhat unsure,No,Very safe,Definitely yes,A great deal,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,31,"Hispanic, Latino, or Spanish","Some college, no degree","$75,000 to $99,999"
140,5,5,Neither easy nor difficult,Neither agree nor disagree,Somewhat dissatisfied,Not well at all,Very unsure,No,Somewhat dangerous,Probably yes,A little,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,37,White,"Some college, no degree","Over $100,000"
206,5,5,Somewhat easy,Somewhat agree,Somewhat satisfied,Extremely well,Somewhat unsure,No,Somewhat dangerous,Probably not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Somewhat low,Slightly familiar,Slightly familiar,Not familiar at all,Not familiar at all,Slightly familiar,Slightly familiar,Female,,27,Asian,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","$75,000 to $99,999"
