Duration (in seconds),QID28_1,QID28_2,QID28_3,QID28_4,QID3_1,QID7_1,QID8_1,QID4_1,QID9_1,QID10_1,QID5_1,QID11_1,QID12_1,QID6_1,QID13_1,QID15_1,QID22_1,QID22_2,QID22_3,QID22_4,QID22_5,QID22_6,QID16,QID16_4_TEXT,QID17,QID18,QID19,QID20
"{""ImportId"":""duration""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_4""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID22_6""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_4_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}"
210,2,4,2,2,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Somewhat confident,No,Somewhat dangerous,Probably not,None at all,Somewhat difficult,Somewhat successful,Neither low nor high,Moderately familiar,Moderately familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,31,White,"4 year degree (e.g. BA, BS)","$35,000 to $49,999"
230,3,5,1,1,Extremely easy,Strongly agree,Neither satisfied nor dissatisfied,Moderately well,Somewhat confident,Yes ,Neither safe nor dangerous,Probably yes,A moderate amount,Somewhat easy,Neither successful nor unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,37,"American Indian, Alaska Native,White","Some college, no degree","Over $100,000"
600,0,10,0,0,Neither easy nor difficult,Somewhat agree,Extremely dissatisfied,Not well at all,Very unsure,No,Neither safe nor dangerous,Might or might not,None at all,Somewhat easy,Very successful,Neither low nor high,Very familiar,Very familiar,Not familiar at all,Very familiar,Moderately familiar,Extremely familiar,Male,,49,"Black, African American","Postgraduate or professional schooling, including master's, doctorate, medical or law degree","Over $100,000"
330,2,6,2,0,Somewhat easy,Somewhat agree,Somewhat satisfied,Extremely well,Somewhat confident,No,Neither safe nor dangerous,Might or might not,A moderate amount,Somewhat easy,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Slightly familiar,Slightly familiar,Slightly familiar,Not familiar at all,Female,,31,White,Less than a high school diploma,"$50,000 to $74,999"
840,3,3,2,2,Somewhat easy,Neither agree nor disagree,Neither satisfied nor dissatisfied,Very well,Somewhat confident,No,Neither safe nor dangerous,Might or might not,A little,Somewhat easy,Neither successful nor unsuccessful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,35,"Black, African American,White","Technical, trade or vocational school AFTER high school","$35,000 to $49,999"
710,4,6,0,0,Somewhat difficult,Somewhat agree,Somewhat satisfied,Very well,Somewhat confident,No,Neither safe nor dangerous,Probably yes,A moderate amount,Somewhat difficult,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,29,White,"4 year degree (e.g. BA, BS)","$75,000 to $99,999"
1355,3,4,2,1,Somewhat easy,Somewhat disagree,Somewhat satisfied,Slightly well,Somewhat unsure,Yes ,Somewhat safe,Might or might not,A moderate amount,Neither easy nor difficult,Neither successful nor unsuccessful,Somewhat low,Moderately familiar,Slightly familiar,Slightly familiar,Very familiar,Moderately familiar,Not familiar at all,Female,,21,"Black, African American","2 year degree (e.g. AA, AS)","$20,000 to $34,999"
340,3,4,3,0,Somewhat difficult,Somewhat agree,Somewhat satisfied,Very well,Somewhat confident,No,Somewhat safe,Probably yes,A little,Somewhat difficult,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,40,White,"Some college, no degree","$20,000 to $34,999"
349,2,3,3,2,Somewhat difficult,Strongly disagree,Extremely dissatisfied,Not well at all,Very unsure,No,Neither safe nor dangerous,Might or might not,None at all,Somewhat difficult,Somewhat unsuccessful,Neither low nor high,Not familiar at all,Slightly familiar,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Female,,43,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","Over $100,000"
180,4,4,2,0,Neither easy nor difficult,Neither agree nor disagree,Extremely satisfied,Extremely well,Neither confident nor unsure,No,Somewhat safe,Might or might not,A moderate amount,Extremely easy,Neither successful nor unsuccessful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,26,White,"Some college, no degree","Over $100,000"
210,2,4,3,1,Extremely easy,Neither agree nor disagree,Somewhat satisfied,Slightly well,Neither confident nor unsure,No,Somewhat safe,Might or might not,A lot,Extremely easy,Somewhat successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,29,White,"Some college, no degree","Less than $20,000"
447,1,5,2,2,Neither easy nor difficult,Somewhat agree,Neither satisfied nor dissatisfied,Moderately well,Neither confident nor unsure,No,Neither safe nor dangerous,Probably yes,A moderate amount,Neither easy nor difficult,Neither successful nor unsuccessful,somewhat high,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,52,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","$20,000 to $34,999"
308,2,3,2,3,Somewhat difficult,Neither agree nor disagree,Somewhat dissatisfied,Moderately well,Somewhat unsure,Yes ,Somewhat safe,Probably yes,A moderate amount,Somewhat difficult,Neither successful nor unsuccessful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Non-binary / gender non-conforming,,22,Prefer not to answer,High school degree or equivalent (e.g. GED),"Less than $20,000"
213,4,3,2,1,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,46,"Hispanic, Latino, or Spanish","Some college, no degree","$35,000 to $49,999"
262,1,6,1,2,Somewhat easy,Somewhat agree,Somewhat satisfied,Moderately well,Somewhat confident,No,Neither safe nor dangerous,Probably yes,A moderate amount,Neither easy nor difficult,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,39,"Black, African American","Some college, no degree","$75,000 to $99,999"
342,4,2,2,2,Somewhat difficult,Somewhat agree,Somewhat satisfied,Slightly well,Somewhat unsure,Yes ,Somewhat safe,Probably yes,A moderate amount,Somewhat difficult,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,38,White,"Some college, no degree","Less than $20,000"
150,4,3,2,1,Somewhat easy,Somewhat agree,Neither satisfied nor dissatisfied,Very well,Neither confident nor unsure,No,Neither safe nor dangerous,Might or might not,A little,Neither easy nor difficult,Neither successful nor unsuccessful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,30,Asian,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","Over $100,000"
108,5,2,1,2,Neither easy nor difficult,Somewhat disagree,Neither satisfied nor dissatisfied,Very well,Neither confident nor unsure,Yes ,Neither safe nor dangerous,Might or might not,A little,Somewhat easy,Neither successful nor unsuccessful,Neither low nor high,Slightly familiar,Moderately familiar,Moderately familiar,Moderately familiar,Slightly familiar,Moderately familiar,Male,,27,"Hispanic, Latino, or Spanish","4 year degree (e.g. BA, BS)","Over $100,000"
267,7,1,1,1,Neither easy nor difficult,Somewhat disagree,Somewhat satisfied,Very well,Somewhat unsure,No,Somewhat dangerous,Probably not,A lot,Neither easy nor difficult,Somewhat successful,Neither low nor high,Moderately familiar,Very familiar,Slightly familiar,Very familiar,Moderately familiar,Moderately familiar,Female,,22,"Black, African American","4 year degree (e.g. BA, BS)","$75,000 to $99,999"
153,2,4,2,2,Somewhat easy,Somewhat agree,Somewhat satisfied,Very well,Somewhat confident,Yes ,Very safe,Definitely yes,A great deal,Somewhat easy,Somewhat successful,Somewhat low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,34,White,"4 year degree (e.g. BA, BS)","$20,000 to $34,999"
257,3,5,1,1,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Moderately well,Neither confident nor unsure,No,Somewhat dangerous,Might or might not,A little,Somewhat easy,Very successful,Neither low nor high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,33,Asian,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","Over $100,000"
120,2,4,2,2,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Somewhat confident,No,Somewhat safe,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,Very low,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Female,,30,White,"Postgraduate or professional schooling, including master's, doctorate, medical or law degree","$50,000 to $74,999"
548,2,8,0,0,Neither easy nor difficult,Neither agree nor disagree,Neither satisfied nor dissatisfied,Moderately well,Somewhat confident,No,Somewhat safe,Probably yes,A lot,Somewhat difficult,Neither successful nor unsuccessful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Slightly familiar,Not familiar at all,Not familiar at all,Female,,47,"Hispanic, Latino, or Spanish","Some college, no degree","Over $100,000"
531,2,5,2,1,Extremely easy,Strongly agree,Extremely satisfied,Extremely well,Very confident,No,Somewhat safe,Probably yes,A moderate amount,Extremely easy,Very successful,Very low,Slightly familiar,Not familiar at all,Not familiar at all,Not familiar at all,Moderately familiar,Not familiar at all,Male,,56,White,High school degree or equivalent (e.g. GED),"Less than $20,000"
262,2,4,2,2,Somewhat easy,Somewhat agree,Somewhat satisfied,Very well,Very confident,No,Somewhat dangerous,Probably yes,A moderate amount,Somewhat easy,Somewhat successful,somewhat high,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Not familiar at all,Male,,32,Asian,"Some college, no degree","Less than $20,000"
