source,target,Kind
0,512,Fb
0,263,Fb
0,525,Fb
0,285,Fb
0,543,Fb
0,806,Fb
0,817,Fb
0,824,Fb
0,341,Fb
0,600,Fb
0,104,Fb
0,107,Fb
0,108,Fb
0,371,Fb
0,632,Fb
0,687,Fb
0,208,Fb
0,744,Fb
0,491,Fb
256,524,Fb
256,532,Fb
256,818,Fb
256,838,Fb
256,373,Fb
256,421,Fb
256,706,Fb
256,486,Fb
512,790,Fb
512,538,Fb
512,809,Fb
512,560,Fb
512,820,Fb
512,580,Fb
512,839,Fb
512,631,Fb
512,690,Fb
512,700,Fb
512,728,Fb
768,838,Fb
1,537,Fb
1,43,Fb
1,345,Fb
1,390,Fb
1,412,Fb
1,420,Fb
257,514,Fb
257,534,Fb
257,545,Fb
257,816,Fb
257,565,Fb
257,574,Fb
257,578,Fb
257,331,Fb
257,346,Fb
257,359,Fb
257,621,Fb
257,659,Fb
257,444,Fb
257,707,Fb
257,721,Fb
513,519,Fb
513,544,Fb
513,590,Fb
513,653,Fb
513,663,Fb
2,817,Fb
2,354,Fb
2,140,Fb
2,666,Fb
2,686,Fb
2,720,Fb
2,502,Fb
258,775,Fb
258,532,Fb
258,792,Fb
258,302,Fb
258,561,Fb
258,590,Fb
514,534,Fb
514,578,Fb
514,659,Fb
514,679,Fb
514,721,Fb
770,824,Fb
3,521,Fb
3,23,Fb
3,49,Fb
3,817,Fb
3,90,Fb
3,357,Fb
3,358,Fb
3,104,Fb
3,415,Fb
3,677,Fb
3,171,Fb
3,182,Fb
3,217,Fb
3,733,Fb
3,226,Fb
3,485,Fb
3,749,Fb
3,239,Fb
259,294,Fb
259,568,Fb
259,590,Fb
259,357,Fb
259,359,Fb
259,371,Fb
259,429,Fb
259,692,Fb
259,745,Fb
771,784,Fb
771,786,Fb
771,797,Fb
4,266,Fb
4,524,Fb
4,15,Fb
4,785,Fb
4,52,Fb
4,564,Fb
4,58,Fb
4,832,Fb
4,838,Fb
4,344,Fb
4,100,Fb
4,615,Fb
4,373,Fb
4,381,Fb
4,388,Fb
4,139,Fb
4,144,Fb
4,661,Fb
4,670,Fb
4,424,Fb
4,177,Fb
4,186,Fb
4,706,Fb
4,466,Fb
4,221,Fb
4,743,Fb
4,744,Fb
4,492,Fb
4,503,Fb
4,509,Fb
260,792,Fb
260,805,Fb
260,806,Fb
260,831,Fb
260,324,Fb
260,844,Fb
260,589,Fb
260,600,Fb
260,611,Fb
260,356,Fb
260,652,Fb
260,459,Fb
260,722,Fb
260,499,Fb
516,624,Fb
5,256,Fb
5,257,Fb
5,269,Fb
5,525,Fb
5,19,Fb
5,802,Fb
5,553,Fb
5,42,Fb
5,52,Fb
5,54,Fb
5,577,Fb
5,73,Fb
5,393,Fb
5,402,Fb
5,403,Fb
5,404,Fb
5,412,Fb
5,432,Fb
5,689,Fb
5,444,Fb
5,466,Fb
5,729,Fb
5,733,Fb
5,222,Fb
5,482,Fb
5,486,Fb
261,556,Fb
261,301,Fb
261,578,Fb
261,846,Fb
261,396,Fb
261,718,Fb
261,485,Fb
261,499,Fb
517,835,Fb
517,649,Fb
6,27,Fb
6,569,Fb
6,324,Fb
6,838,Fb
6,342,Fb
6,599,Fb
6,616,Fb
6,112,Fb
6,645,Fb
6,137,Fb
6,406,Fb
6,423,Fb
6,424,Fb
6,176,Fb
6,462,Fb
6,477,Fb
6,487,Fb
6,749,Fb
262,263,Fb
262,780,Fb
262,286,Fb
262,804,Fb
262,294,Fb
262,303,Fb
262,820,Fb
262,567,Fb
262,824,Fb
262,324,Fb
262,837,Fb
262,844,Fb
262,598,Fb
262,343,Fb
262,628,Fb
262,651,Fb
262,657,Fb
262,668,Fb
262,425,Fb
262,472,Fb
262,729,Fb
262,733,Fb
518,545,Fb
7,524,Fb
7,535,Fb
7,791,Fb
7,614,Fb
7,205,Fb
7,229,Fb
263,512,Fb
263,283,Fb
263,797,Fb
263,286,Fb
263,288,Fb
263,297,Fb
263,299,Fb
263,300,Fb
263,817,Fb
263,820,Fb
263,824,Fb
