source,target,kind
370,512,sms
512,370,sms
370,512,sms
0,512,sms
137,136,sms
278,335,sms
136,137,sms
137,136,sms
512,370,sms
370,512,sms
512,370,sms
512,0,sms
136,137,sms
370,512,sms
370,512,sms
137,136,sms
512,370,sms
370,512,sms
370,512,sms
512,370,sms
299,237,sms
0,512,sms
663,519,sms
512,0,sms
0,512,sms
512,0,sms
512,299,sms
299,512,sms
0,512,sms
512,299,sms
512,0,sms
299,512,sms
512,299,sms
299,512,sms
0,512,sms
512,299,sms
0,512,sms
512,0,sms
512,0,sms
512,0,sms
0,512,sms
512,0,sms
0,512,sms
0,512,sms
370,512,sms
370,512,sms
512,0,sms
512,370,sms
370,512,sms
300,301,sms
512,0,sms
512,0,sms
0,512,sms
237,299,sms
299,237,sms
301,300,sms
301,300,sms
512,0,sms
47,19,sms
19,47,sms
0,512,sms
47,19,sms
19,47,sms
202,697,sms
697,202,sms
202,697,sms
697,202,sms
202,697,sms
697,202,sms
512,0,sms
0,512,sms
0,512,sms
278,335,sms
454,244,sms
454,244,sms
512,0,sms
244,454,sms
512,0,sms
512,0,sms
687,310,sms
279,617,sms
310,687,sms
687,310,sms
218,382,sms
617,279,sms
611,146,sms
617,279,sms
31,76,sms
137,136,sms
300,301,sms
301,300,sms
301,300,sms
300,301,sms
279,617,sms
279,617,sms
176,611,sms
176,611,sms
611,176,sms
120,314,sms
176,611,sms
611,176,sms
176,611,sms
611,176,sms
176,611,sms
611,176,sms
314,120,sms
176,611,sms
611,176,sms
176,611,sms
611,176,sms
120,314,sms
176,611,sms
611,176,sms
310,687,sms
51,75,sms
314,120,sms
120,314,sms
301,300,sms
786,350,sms
21,20,sms
314,120,sms
574,225,sms
350,786,sms
786,350,sms
75,51,sms
51,75,sms
75,51,sms
301,300,sms
51,75,sms
574,225,sms
225,574,sms
683,390,sms
611,176,sms
611,176,sms
176,611,sms
611,176,sms
176,611,sms
176,611,sms
176,611,sms
611,176,sms
176,611,sms
466,183,sms
611,176,sms
146,611,sms
390,683,sms
390,683,sms
683,390,sms
390,683,sms
683,390,sms
390,683,sms
632,274,sms
20,21,sms
617,279,sms
617,279,sms
279,617,sms
279,617,sms
617,279,sms
5,802,sms
136,137,sms
617,279,sms
390,683,sms
136,137,sms
279,617,sms
20,21,sms
20,21,sms
21,20,sms
20,21,sms
634,681,sms
802,5,sms
617,279,sms
279,617,sms
683,390,sms
617,279,sms
617,279,sms
611,146,sms
279,617,sms
279,617,sms
617,279,sms
617,279,sms
279,617,sms
21,20,sms
279,617,sms
137,136,sms
183,466,sms
136,137,sms
137,136,sms
5,802,sms
681,634,sms
802,5,sms
5,802,sms
802,5,sms
274,632,sms
617,279,sms
611,176,sms
634,681,sms
137,136,sms
5,802,sms
802,5,sms
5,802,sms
802,5,sms
512,0,sms
136,137,sms
136,137,sms
176,578,sms
350,786,sms
786,350,sms
121,288,sms
164,304,sms
632,274,sms
21,20,sms
20,21,sms
21,20,sms
141,176,sms
176,141,sms
617,279,sms
279,617,sms
617,279,sms
279,617,sms
274,632,sms
279,617,sms
146,458,sms
617,279,sms
279,617,sms
279,617,sms
617,279,sms
279,617,sms
617,279,sms
617,279,sms
279,617,sms
279,617,sms
617,279,sms
617,279,sms
617,279,sms
279,617,sms
75,51,sms
304,164,sms
164,304,sms
458,146,sms
0,512,sms
512,0,sms
304,164,sms
213,170,sms
359,560,sms
170,213,sms
213,170,sms
696,306,sms
0,512,sms
632,274,sms
121,288,sms
121,288,sms
121,288,sms
449,47,sms
274,632,sms
617,279,sms
279,617,sms
617,279,sms
279,617,sms
279,617,sms
512,0,sms
560,359,sms
617,279,sms
279,617,sms
617,279,sms
711,200,sms
237,299,sms
632,274,sms
279,617,sms
31,76,sms
359,560,sms
218,382,sms
617,279,sms
279,617,sms
617,279,sms
0,512,sms
617,279,sms
274,632,sms
279,617,sms
632,274,sms
299,237,sms
512,0,sms
382,218,sms
274,632,sms
237,299,sms
632,274,sms
299,237,sms
299,237,sms
237,299,sms
218,382,sms
274,632,sms
237,299,sms
299,237,sms
632,274,sms
237,299,sms
176,578,sms
578,176,sms
288,121,sms
176,578,sms
279,617,sms
617,279,sms
279,617,sms
218,382,sms
55,512,sms
512,55,sms
55,512,sms
512,55,sms
55,512,sms
414,335,sms
617,279,sms
512,55,sms
139,546,sms
55,512,sms
139,546,sms
512,55,sms
55,512,sms
137,176,sms
512,55,sms
55,512,sms
279,617,sms
512,55,sms
279,617,sms
617,279,sms
279,617,sms
617,279,sms
279,617,sms
279,617,sms
279,617,sms
55,512,sms
617,279,sms
512,55,sms
279,617,sms
55,512,sms
512,55,sms
55,512,sms
512,55,sms
55,512,sms
774,586,sms
512,55,sms
55,512,sms
617,279,sms
279,617,sms
512,55,sms
512,55,sms
512,55,sms
55,512,sms
617,279,sms
512,55,sms
279,617,sms
335,414,sms
20,21,sms
617,279,sms
414,335,sms
21,20,sms
21,20,sms
21,20,sms
55,512,sms
335,414,sms
512,55,sms
55,512,sms
414,335,sms
512,55,sms
55,512,sms
512,299,sms
512,299,sms
512,299,sms
335,414,sms
382,218,sms
512,55,sms
55,512,sms
512,55,sms
55,512,sms
512,55,sms
19,47,sms
19,47,sms
19,47,sms
19,47,sms
546,139,sms
546,139,sms
218,382,sms
55,512,sms
176,141,sms
340,601,sms
512,55,sms
601,340,sms
340,601,sms
299,512,sms
601,340,sms
512,299,sms
340,601,sms
601,340,sms
586,774,sms
299,512,sms
512,299,sms
774,586,sms
299,512,sms
578,176,sms
578,289,sms
289,578,sms
289,578,sms
289,578,sms
601,340,sms
578,289,sms
289,578,sms
340,601,sms
578,289,sms
601,340,sms
289,578,sms
578,289,sms
340,601,sms
289,578,sms
176,578,sms
601,340,sms
340,601,sms
176,578,sms
601,340,sms
578,289,sms
176,578,sms
578,176,sms
176,578,sms
176,578,sms
289,578,sms
578,176,sms
578,289,sms
176,578,sms
289,578,sms
51,75,sms
578,289,sms
289,578,sms
578,289,sms
289,578,sms
218,382,sms
578,289,sms
289,578,sms
578,176,sms
640,172,sms
89,341,sms
341,89,sms
341,89,sms
532,13,sms
151,578,sms
151,578,sms
176,578,sms
578,151,sms
279,617,sms
151,578,sms
617,279,sms
279,617,sms
640,172,sms
617,279,sms
279,617,sms
279,617,sms
279,617,sms
578,151,sms
578,151,sms
578,176,sms
578,151,sms
617,279,sms
151,578,sms
578,151,sms
151,578,sms
82,24,sms
578,151,sms
151,578,sms
578,176,sms
578,151,sms
720,342,sms
151,578,sms
578,151,sms
151,578,sms
218,382,sms
382,218,sms
218,382,sms
578,151,sms
151,578,sms
176,578,sms
578,151,sms
100,743,sms
578,176,sms
151,578,sms
218,382,sms
578,151,sms
382,218,sms
218,382,sms
382,218,sms
151,578,sms
218,382,sms
382,218,sms
18,276,sms
18,488,sms
382,218,sms
218,382,sms
382,218,sms
218,382,sms
382,218,sms
218,382,sms
141,176,sms
176,578,sms
578,176,sms
512,299,sms
299,512,sms
512,299,sms
24,82,sms
299,512,sms
176,578,sms
176,578,sms
512,299,sms
176,578,sms
382,218,sms
176,578,sms
115,475,sms
299,512,sms
578,176,sms
578,176,sms
512,299,sms
299,512,sms
55,235,sms
512,299,sms
488,18,sms
18,488,sms
176,578,sms
578,176,sms
279,617,sms
617,279,sms
279,617,sms
617,279,sms
278,335,sms
578,289,sms
335,278,sms
289,578,sms
279,617,sms
279,617,sms
578,289,sms
289,578,sms
578,289,sms
289,578,sms
357,3,sms
782,435,sms
357,3,sms
176,578,sms
578,289,sms
578,176,sms
300,371,sms
289,578,sms
176,578,sms
289,578,sms
3,357,sms
278,335,sms
3,357,sms
578,176,sms
371,300,sms
176,578,sms
3,357,sms
435,782,sms
578,289,sms
3,357,sms
299,512,sms
357,3,sms
512,299,sms
357,3,sms
289,578,sms
299,512,sms
782,435,sms
578,289,sms
512,299,sms
299,512,sms
512,299,sms
145,146,sms
299,512,sms
512,299,sms
145,146,sms
3,357,sms
146,145,sms
299,512,sms
3,357,sms
145,146,sms
357,3,sms
357,3,sms
485,472,sms
472,485,sms
512,299,sms
3,357,sms
357,3,sms
3,357,sms
578,289,sms
299,512,sms
512,299,sms
357,3,sms
139,546,sms
288,121,sms
335,278,sms
3,357,sms
235,55,sms
357,3,sms
299,512,sms
139,546,sms
512,299,sms
357,3,sms
3,357,sms
357,3,sms
145,146,sms
145,146,sms
342,720,sms
3,357,sms
299,512,sms
55,235,sms
720,342,sms
512,299,sms
136,137,sms
299,512,sms
357,3,sms
278,335,sms
335,278,sms
512,299,sms
357,3,sms
357,3,sms
3,357,sms
299,512,sms
512,299,sms
3,357,sms
3,357,sms
3,357,sms
357,3,sms
357,3,sms
146,145,sms
485,472,sms
485,472,sms
472,485,sms
357,3,sms
3,357,sms
342,720,sms
617,279,sms
299,512,sms
3,357,sms
176,578,sms
512,299,sms
235,55,sms
3,357,sms
55,235,sms
357,3,sms
3,357,sms
357,3,sms
299,512,sms
475,115,sms
512,299,sms
475,115,sms
235,55,sms
115,475,sms
115,475,sms
640,172,sms
683,390,sms
172,640,sms
278,335,sms
3,357,sms
3,357,sms
640,172,sms
172,640,sms
55,235,sms
640,172,sms
640,172,sms
172,640,sms
640,172,sms
390,683,sms
299,512,sms
279,617,sms
512,299,sms
357,3,sms
357,3,sms
3,357,sms
3,357,sms
299,512,sms
300,371,sms
535,614,sms
617,279,sms
474,639,sms
279,617,sms
279,617,sms
235,55,sms
266,424,sms
617,279,sms
279,617,sms
55,235,sms
578,176,sms
176,578,sms
335,278,sms
166,485,sms
278,335,sms
254,88,sms
335,278,sms
799,549,sms
639,474,sms
145,146,sms
145,146,sms
145,146,sms
278,335,sms
172,640,sms
172,640,sms
335,278,sms
640,172,sms
278,335,sms
172,640,sms
146,145,sms
145,146,sms
146,145,sms
640,172,sms
176,578,sms
335,278,sms
171,49,sms
172,640,sms
278,335,sms
335,278,sms
474,639,sms
578,176,sms
278,335,sms
639,474,sms
176,578,sms
335,278,sms
235,55,sms
617,279,sms
279,617,sms
617,279,sms
279,617,sms
617,279,sms
279,617,sms
279,617,sms
617,279,sms
55,235,sms
617,279,sms
335,278,sms
279,617,sms
279,617,sms
617,279,sms
278,335,sms
617,279,sms
279,617,sms
279,617,sms
617,279,sms
578,176,sms
279,617,sms
279,617,sms
176,578,sms
273,585,sms
279,617,sms
279,617,sms
279,617,sms
279,617,sms
121,288,sms
617,279,sms
288,121,sms
121,288,sms
288,121,sms
121,288,sms
288,121,sms
512,299,sms
300,371,sms
299,512,sms
512,299,sms
512,299,sms
299,512,sms
578,176,sms
176,578,sms
121,288,sms
288,121,sms
288,121,sms
121,288,sms
288,121,sms
288,121,sms
121,288,sms
288,121,sms
121,288,sms
166,485,sms
499,600,sms
193,179,sms
485,166,sms
166,485,sms
371,300,sms
300,371,sms
288,401,sms
401,288,sms
288,401,sms
401,288,sms
288,401,sms
137,136,sms
137,136,sms
512,299,sms
614,535,sms
535,614,sms
299,512,sms
512,299,sms
299,512,sms
512,299,sms
299,512,sms
419,8,sms
8,419,sms
419,8,sms
8,419,sms
419,8,sms
8,419,sms
278,335,sms
512,299,sms
299,512,sms
601,340,sms
137,136,sms
279,617,sms
137,136,sms
617,279,sms
279,617,sms
617,279,sms
279,617,sms
512,299,sms
39,622,sms
8,419,sms
743,100,sms
179,193,sms
601,340,sms
193,179,sms
340,601,sms
179,193,sms
475,115,sms
115,475,sms
193,179,sms
179,193,sms
100,743,sms
449,47,sms
47,449,sms
475,115,sms
115,475,sms
151,578,sms
623,651,sms
651,623,sms
651,623,sms
578,151,sms
137,176,sms
151,578,sms
176,137,sms
193,179,sms
179,193,sms
623,651,sms
193,179,sms
193,179,sms
651,623,sms
179,193,sms
623,651,sms
651,623,sms
743,100,sms
651,623,sms
193,179,sms
166,272,sms
100,743,sms
743,100,sms
272,166,sms
166,272,sms
272,166,sms
288,121,sms
179,193,sms
193,179,sms
488,18,sms
164,304,sms
304,164,sms
164,304,sms
304,164,sms
164,304,sms
304,164,sms
335,278,sms
164,304,sms
183,685,sms
91,90,sms
570,18,sms
18,488,sms
18,570,sms
166,272,sms
570,18,sms
18,570,sms
306,696,sms
474,639,sms
6,27,sms
27,6,sms
6,27,sms
304,164,sms
164,304,sms
256,553,sms
342,720,sms
651,623,sms
651,623,sms
570,18,sms
720,342,sms
18,570,sms
18,488,sms
570,18,sms
18,570,sms
570,18,sms
570,18,sms
488,18,sms
18,570,sms
18,488,sms
175,119,sms
639,474,sms
119,175,sms
256,553,sms
553,256,sms
5,802,sms
5,802,sms
227,436,sms
437,171,sms
299,237,sms
688,405,sms
237,133,sms
6,27,sms
6,27,sms
601,340,sms
133,237,sms
176,578,sms
164,304,sms
304,164,sms
274,632,sms
39,622,sms
622,39,sms
748,114,sms
39,622,sms
114,748,sms
632,274,sms
237,299,sms
274,632,sms
802,5,sms
39,622,sms
304,164,sms
570,18,sms
569,465,sms
5,802,sms
114,748,sms
164,304,sms
700,46,sms
164,304,sms
748,114,sms
304,164,sms
164,304,sms
114,748,sms
164,304,sms
304,164,sms
164,304,sms
256,553,sms
342,720,sms
136,137,sms
304,164,sms
164,304,sms
743,300,sms
300,743,sms
743,300,sms
304,494,sms
300,743,sms
171,437,sms
553,256,sms
437,171,sms
553,256,sms
256,553,sms
340,601,sms
20,21,sms
553,256,sms
136,137,sms
256,553,sms
46,700,sms
46,484,sms
21,20,sms
164,304,sms
304,164,sms
601,340,sms
652,677,sms
304,164,sms
164,304,sms
237,133,sms
484,46,sms
46,484,sms
296,481,sms
133,237,sms
163,164,sms
480,123,sms
164,163,sms
123,480,sms
123,480,sms
137,136,sms
480,123,sms
136,137,sms
448,149,sms
123,480,sms
164,304,sms
164,304,sms
304,164,sms
164,304,sms
123,480,sms
480,123,sms
578,176,sms
176,578,sms
288,104,sms
743,300,sms
91,90,sms
149,448,sms
780,187,sms
300,743,sms
448,149,sms
743,300,sms
91,90,sms
743,300,sms
149,448,sms
300,743,sms
743,300,sms
266,4,sms
304,474,sms
104,288,sms
176,578,sms
474,304,sms
475,115,sms
304,474,sms
491,208,sms
300,301,sms
491,208,sms
700,46,sms
645,235,sms
115,475,sms
301,300,sms
268,521,sms
300,301,sms
578,176,sms
301,300,sms
335,278,sms
278,335,sms
208,491,sms
235,645,sms
645,235,sms
491,208,sms
335,278,sms
235,645,sms
176,578,sms
300,301,sms
645,235,sms
491,208,sms
475,115,sms
115,475,sms
301,300,sms
512,299,sms
521,268,sms
300,301,sms
91,90,sms
187,780,sms
268,521,sms
48,49,sms
3,49,sms
176,578,sms
780,187,sms
288,104,sms
481,296,sms
3,49,sms
481,296,sms
481,296,sms
481,296,sms
278,335,sms
617,279,sms
227,436,sms
474,304,sms
296,481,sms
296,481,sms
578,176,sms
481,296,sms
481,296,sms
296,481,sms
304,474,sms
481,296,sms
296,481,sms
296,481,sms
296,481,sms
481,296,sms
301,300,sms
481,296,sms
481,296,sms
296,481,sms
481,296,sms
481,296,sms
176,578,sms
484,46,sms
296,481,sms
481,296,sms
136,137,sms
296,481,sms
481,296,sms
578,176,sms
296,481,sms
677,652,sms
481,296,sms
296,481,sms
481,296,sms
632,274,sms
296,481,sms
481,296,sms
176,578,sms
279,617,sms
104,288,sms
677,652,sms
279,617,sms
617,279,sms
617,279,sms
137,136,sms
677,652,sms
677,652,sms
652,677,sms
677,652,sms
652,677,sms
677,652,sms
652,677,sms
677,652,sms
164,163,sms
279,617,sms
49,3,sms
90,91,sms
3,49,sms
49,3,sms
3,49,sms
485,472,sms
578,176,sms
90,91,sms
91,90,sms
266,424,sms
424,266,sms
652,677,sms
279,617,sms
472,485,sms
474,639,sms
39,622,sms
580,759,sms
288,104,sms
617,279,sms
617,279,sms
279,617,sms
104,288,sms
317,28,sms
632,274,sms
617,279,sms
176,578,sms
617,279,sms
578,176,sms
176,578,sms
4,266,sms
115,475,sms
279,617,sms
266,4,sms
4,266,sms
521,268,sms
268,521,sms
266,4,sms
268,521,sms
578,176,sms
176,578,sms
4,266,sms
28,317,sms
317,28,sms
475,115,sms
475,115,sms
115,475,sms
28,317,sms
115,475,sms
521,268,sms
376,114,sms
266,4,sms
4,266,sms
114,376,sms
266,4,sms
4,266,sms
266,4,sms
317,28,sms
376,114,sms
376,114,sms
114,376,sms
569,465,sms
28,317,sms
677,652,sms
376,114,sms
652,677,sms
677,652,sms
376,114,sms
114,376,sms
114,376,sms
376,114,sms
578,176,sms
578,176,sms
176,578,sms
176,578,sms
475,115,sms
578,176,sms
274,632,sms
176,578,sms
49,3,sms
90,91,sms
91,90,sms
49,3,sms
90,91,sms
91,90,sms
91,90,sms
91,90,sms
90,91,sms
91,90,sms
90,91,sms
90,91,sms
91,90,sms
91,90,sms
578,176,sms
90,91,sms
90,91,sms
845,128,sms
176,578,sms
90,91,sms
91,90,sms
90,91,sms
578,176,sms
176,578,sms
91,90,sms
3,49,sms
578,176,sms
90,91,sms
176,578,sms
91,90,sms
91,90,sms
3,49,sms
136,137,sms
578,176,sms
176,578,sms
90,91,sms
90,91,sms
90,91,sms
90,91,sms
91,90,sms
90,91,sms
91,90,sms
90,91,sms
578,176,sms
622,39,sms
176,578,sms
324,52,sms
208,128,sms
578,176,sms
176,578,sms
485,472,sms
578,176,sms
578,289,sms
372,342,sms
52,324,sms
128,208,sms
289,578,sms
176,578,sms
578,176,sms
578,289,sms
176,578,sms
289,578,sms
208,128,sms
578,176,sms
176,578,sms
578,176,sms
164,494,sms
51,75,sms
617,279,sms
75,51,sms
176,578,sms
494,304,sms
317,28,sms
304,494,sms
494,304,sms
304,494,sms
173,211,sms
578,176,sms
171,437,sms
176,578,sms
211,173,sms
376,114,sms
376,114,sms
376,114,sms
114,376,sms
376,114,sms
114,376,sms
376,114,sms
173,211,sms
617,279,sms
578,176,sms
176,578,sms
211,173,sms
342,372,sms
578,176,sms
176,578,sms
617,279,sms
179,193,sms
179,193,sms
47,449,sms
28,317,sms
279,617,sms
317,28,sms
193,179,sms
179,193,sms
279,617,sms
193,179,sms
279,617,sms
617,279,sms
617,279,sms
279,617,sms
617,279,sms
617,279,sms
279,617,sms
279,617,sms
266,785,sms
617,279,sms
390,683,sms
424,785,sms
617,279,sms
830,140,sms
279,617,sms
288,104,sms
104,288,sms
578,176,sms
176,578,sms
28,317,sms
279,617,sms
617,279,sms
47,19,sms
288,104,sms
279,617,sms
279,617,sms
279,617,sms
104,288,sms
617,279,sms
578,176,sms
19,47,sms
114,376,sms
176,578,sms
90,91,sms
218,382,sms
578,176,sms
176,578,sms
229,503,sms
192,203,sms
622,39,sms
91,90,sms
438,59,sms
438,59,sms
59,438,sms
59,438,sms
390,683,sms
449,47,sms
376,114,sms
449,47,sms
376,114,sms
114,376,sms
47,449,sms
382,218,sms
218,382,sms
382,218,sms
218,382,sms
47,449,sms
218,382,sms
382,218,sms
382,218,sms
218,382,sms
449,47,sms
449,47,sms
382,218,sms
47,449,sms
449,47,sms
218,382,sms
218,382,sms
218,382,sms
503,229,sms
357,49,sms
382,218,sms
218,382,sms
90,91,sms
601,340,sms
47,449,sms
340,601,sms
492,12,sms
617,279,sms
229,503,sms
677,652,sms
176,578,sms
578,176,sms
47,449,sms
27,371,sms
652,677,sms
677,652,sms
18,488,sms
116,628,sms
419,557,sms
419,557,sms
503,229,sms
557,419,sms
601,340,sms
628,116,sms
229,503,sms
503,229,sms
229,503,sms
47,449,sms
488,18,sms
12,492,sms
449,47,sms
492,12,sms
47,449,sms
423,167,sms
193,179,sms
179,193,sms
193,179,sms
167,423,sms
33,242,sms
423,167,sms
167,423,sms
423,167,sms
167,423,sms
371,27,sms
48,49,sms
140,830,sms
299,512,sms
276,242,sms
128,208,sms
27,371,sms
173,466,sms
512,299,sms
299,512,sms
242,33,sms
33,242,sms
18,488,sms
632,285,sms
285,632,sms
242,33,sms
242,33,sms
242,33,sms
632,285,sms
176,578,sms
33,242,sms
488,18,sms
472,485,sms
33,242,sms
18,488,sms
578,176,sms
176,578,sms
485,472,sms
179,193,sms
193,179,sms
472,485,sms
179,812,sms
218,382,sms
194,294,sms
578,176,sms
294,194,sms
632,274,sms
194,294,sms
294,194,sms
176,578,sms
578,176,sms
194,294,sms
176,578,sms
578,176,sms
176,578,sms
578,176,sms
176,578,sms
578,176,sms
274,632,sms
285,632,sms
812,179,sms
560,144,sms
128,845,sms
845,128,sms
179,812,sms
242,33,sms
567,676,sms
208,128,sms
128,208,sms
21,20,sms
20,21,sms
21,20,sms
21,20,sms
146,458,sms
91,90,sms
651,623,sms
458,146,sms
21,20,sms
578,176,sms
176,578,sms
33,242,sms
242,33,sms
96,780,sms
780,96,sms
33,242,sms
623,651,sms
651,623,sms
299,512,sms
299,512,sms
299,512,sms
512,299,sms
512,299,sms
299,512,sms
481,296,sms
242,33,sms
33,242,sms
146,458,sms
299,512,sms
512,299,sms
299,512,sms
578,176,sms
512,299,sms
512,299,sms
176,578,sms
36,401,sms
578,176,sms
401,36,sms
176,578,sms
578,176,sms
681,634,sms
36,401,sms
296,481,sms
481,296,sms
481,296,sms
481,296,sms
481,296,sms
634,681,sms
296,481,sms
296,481,sms
481,296,sms
481,296,sms
481,296,sms
481,296,sms
176,578,sms
296,481,sms
481,296,sms
481,296,sms
481,296,sms
481,296,sms
296,481,sms
296,481,sms
465,569,sms
481,296,sms
569,465,sms
521,268,sms
481,296,sms
296,481,sms
296,481,sms
481,296,sms
176,578,sms
481,296,sms
578,176,sms
296,481,sms
176,578,sms
176,137,sms
481,296,sms
481,296,sms
296,481,sms
173,466,sms
481,296,sms
481,296,sms
481,296,sms
481,296,sms
481,296,sms
296,481,sms
296,481,sms
137,176,sms
296,481,sms
481,296,sms
481,296,sms
176,137,sms
481,296,sms
481,296,sms
481,296,sms
296,481,sms
481,296,sms
481,296,sms
481,296,sms
296,481,sms
296,481,sms
481,296,sms
481,296,sms
481,296,sms
296,481,sms
296,481,sms
481,296,sms
652,677,sms
481,296,sms
296,481,sms
