source,target,Kind
A6112,A4068,ff
A6112,A3006,ff
A2153,A1580,ff
A1699,A3928,ff
A2153,A3363,ff
A2153,A3798,ff
A1169,A2803,ff
A1169,A3943,ff
A1169,A5409,ff
A1169,A3299,ff
A1398,A4367,ff
A1398,A1631,ff
A1398,A2623,ff
A1398,A1638,ff
A2296,A5989,ff
A5900,A3571,ff
A2153,A2159,ff
A2153,A5989,ff
A2153,A1585,ff
A2153,A3618,ff
A2153,A2677,ff
A1272,A3798,ff
A673,A1466,ff
A673,A3492,ff
A673,A3798,ff
A673,A5989,ff
A673,A2119,ff
A673,A3618,ff
A673,A203,ff
A2575,A431,ff
A2575,A3798,ff
A2575,A1529,ff
A2575,A873,ff
A2575,A5967,ff
A2575,A2479,ff
A2575,A3864,ff
A2575,A3009,ff
A2575,A4044,ff
A2575,A5732,ff
A2575,A5788,ff
A2575,A4349,ff
A2575,A3555,ff
A2575,A5787,ff
A2575,A6333,ff
A2575,A1773,ff
A2575,A2861,ff
A2575,A1543,ff
A2575,A3903,ff
A2575,A3815,ff
A2575,A5989,ff
A2575,A2030,ff
A2575,A5849,ff
A2575,A762,ff
A2575,A1331,ff
A2575,A1159,ff
A2575,A6157,ff
A2575,A3618,ff
A2575,A2301,ff
A2575,A5139,ff
A2575,A1570,ff
A2575,A3956,ff
A2575,A6346,ff
A2575,A3463,ff
A2575,A2992,ff
A2575,A5977,ff
A2575,A896,ff
A2575,A1534,ff
A1733,A1207,ff
A1733,A1659,ff
A5773,A3798,ff
A5773,A11,ff
A5773,A871,ff
A5773,A3555,ff
A5773,A2326,ff
A5773,A5343,ff
A5773,A5542,ff
A5773,A5989,ff
A5773,A2281,ff
A5773,A1851,ff
A66,A3798,ff
A66,A5730,ff
A66,A716,ff
A66,A5989,ff
A1989,A3798,ff
A5364,A3798,ff
A5364,A3910,ff
A6041,A773,ff
A6041,A1159,ff
A4371,A3798,ff
A4371,A4809,ff
A4371,A4240,ff
A4371,A5599,ff
A4371,A5631,ff
A4371,A1159,ff
A4371,A3618,ff
A2594,A2446,ff
A2594,A612,ff
A2594,A3020,ff
A2594,A591,ff
A2594,A2525,ff
A2594,A3798,ff
A2594,A6322,ff
A2594,A189,ff
A912,A3798,ff
A912,A323,ff
A912,A716,ff
A45,A3798,ff
A45,A4558,ff
A45,A3605,ff
A45,A716,ff
A45,A2163,ff
A45,A5989,ff
A45,A3618,ff
A45,A3203,ff
A45,A4943,ff
A5456,A3798,ff
A5456,A3555,ff
A5456,A5416,ff
A673,A4590,ff
A556,A775,ff
A556,A503,ff
A556,A3145,ff
A835,A3798,ff
A835,A2845,ff
A835,A2604,ff
A1806,A3798,ff
A1806,A6215,ff
A1806,A4240,ff
A1806,A354,ff
A1806,A5989,ff
A1806,A3571,ff
A1946,A3555,ff
A381,A780,ff
A381,A3852,ff
A381,A2525,ff
A381,A4814,ff
A381,A3070,ff
A381,A3798,ff
A381,A5732,ff
A381,A4039,ff
A381,A4839,ff
A381,A3555,ff
A381,A5182,ff
A6230,A5343,ff
A381,A6323,ff
A381,A3618,ff
A898,A3798,ff
A5131,A3798,ff
A2575,A1606,ff
A2575,A3852,ff
A3520,A4306,ff
A2575,A2525,ff
A2575,A1303,ff
A2575,A4814,ff
A2575,A1377,ff
A2575,A2672,ff
A2575,A4839,ff
A3492,A3798,ff
A2575,A4240,ff
A2575,A2403,ff
A2575,A4973,ff
A97,A3798,ff
A97,A3299,ff
A97,A5989,ff
A97,A1348,ff
A2951,A6010,ff
A2951,A4370,ff
A2951,A4108,ff
A2951,A345,ff
A5506,A414,ff
A2951,A2856,ff
A2951,A25,ff
A2951,A3444,ff
A2951,A885,ff
A6230,A136,ff
A2951,A5447,ff
A2951,A4782,ff
A1929,A3798,ff
A2951,A2952,ff
A2951,A5201,ff
A2951,A3837,ff
A2951,A5518,ff
A2951,A1327,ff
A2951,A2010,ff
A177,A5442,ff
A3852,A837,ff
A2951,A1250,ff
A2951,A4427,ff
A2951,A1571,ff
A2951,A6382,ff
A2951,A1046,ff
A2951,A5943,ff
A2951,A3622,ff
A2951,A2260,ff
A2951,A1871,ff
A2951,A3609,ff
A2951,A1012,ff
A3153,A3798,ff
A3153,A5989,ff
A4923,A3798,ff
A4923,A716,ff
A4923,A3618,ff
A731,A3798,ff
A1580,A4814,ff
A1580,A3798,ff
A783,A2647,ff
A783,A4240,ff
A783,A3373,ff
A3520,A4100,ff
A1164,A3618,ff
A5656,A3798,ff
A3935,A3259,ff
A3935,A5059,ff
A2704,A3798,ff
A4796,A3587,ff
A4796,A1991,ff
A4796,A780,ff
A4796,A3852,ff
A4796,A2525,ff
A4796,A4814,ff
A4796,A1618,ff
A5765,A1019,ff
A4796,A3798,ff
A4796,A5368,ff
A4796,A1286,ff
A4796,A3271,ff
A4796,A359,ff
A4796,A1741,ff
A4796,A13,ff
A4796,A6319,ff
A4796,A1377,ff
A4796,A2280,ff
A2199,A3798,ff
A2199,A5989,ff
A2199,A2016,ff
A1665,A3852,ff
A1665,A1466,ff
A1665,A3798,ff
A1665,A4240,ff
A1665,A2149,ff
A1665,A3605,ff
A2704,A1159,ff
A2704,A5715,ff
A1910,A5088,ff
A1910,A3798,ff
A1910,A716,ff
A1910,A6165,ff
A1910,A5726,ff
A1910,A4756,ff
A2533,A3616,ff
A780,A1011,ff
A2533,A2639,ff
A2160,A716,ff
A4543,A2045,ff
A4543,A1796,ff
A4543,A3798,ff
A4543,A1636,ff
A4543,A25,ff
A4543,A716,ff
A4543,A5639,ff
A4543,A3299,ff
A4543,A5989,ff
A4543,A498,ff
A4543,A520,ff
A4543,A3618,ff
A4543,A1752,ff
A4543,A802,ff
A4543,A5372,ff
A4543,A5679,ff
A4543,A570,ff
A4543,A3203,ff
A3006,A2906,ff
A3006,A4809,ff
A4543,A1603,ff
A3492,A720,ff
A6039,A1932,ff
A6039,A1540,ff
A5458,A1466,ff
A5458,A3798,ff
A5458,A3605,ff
A5458,A3618,ff
A1553,A3798,ff
A1553,A6280,ff
A1553,A2368,ff
A1553,A3736,ff
A2117,A4244,ff
A2117,A3798,ff
A5882,A3605,ff
A4903,A25,ff
A3833,A1559,ff
A3016,A5761,ff
A3016,A4794,ff
A3016,A6305,ff
A4293,A4021,ff
A4293,A716,ff
A3503,A1466,ff
A3503,A1618,ff
A3503,A3798,ff
A1741,A3852,ff
A3503,A6319,ff
A4491,A4473,ff
A4078,A3798,ff
A998,A3798,ff
A998,A5989,ff
A998,A3618,ff
A998,A203,ff
A2676,A5398,ff
A2676,A4685,ff
A780,A5126,ff
A4685,A4594,ff
A3492,A3411,ff
A2676,A3798,ff
A2676,A5709,ff
A2676,A5989,ff
A2676,A802,ff
A2676,A1441,ff
A2676,A4448,ff
A5640,A5839,ff
A921,A2562,ff
A4275,A3798,ff
A4275,A4291,ff
A4275,A5815,ff
A4932,A519,ff
A4932,A3798,ff
A4932,A716,ff
A4271,A3798,ff
A4271,A5744,ff
A3209,A3798,ff
A3209,A2428,ff
A3209,A5989,ff
A5065,A3798,ff
A5065,A3259,ff
A5065,A2178,ff
A4424,A5122,ff
A3691,A2533,ff
A3691,A1761,ff
A3691,A2317,ff
A3691,A2294,ff
A3520,A292,ff
A6230,A1219,ff
A1618,A828,ff
A5900,A6048,ff
A5165,A4685,ff
A5165,A3798,ff
A5165,A716,ff
A5165,A5989,ff
A5165,A167,ff
A5165,A3618,ff
A5165,A2389,ff
A932,A2292,ff
A780,A5236,ff
A5165,A2745,ff
A5165,A5134,ff
A5165,A5097,ff
A1000,A3798,ff
A1000,A3555,ff
A1000,A5787,ff
A1000,A1697,ff
A4122,A3618,ff
A1000,A716,ff
A1000,A1673,ff
A1000,A100,ff
A1000,A5989,ff
A1000,A2084,ff
A1000,A322,ff
A1000,A434,ff
A5884,A5599,ff
A1000,A3203,ff
A1000,A4270,ff
A19,A5563,ff
A1991,A5466,ff
A1991,A809,ff
A1991,A3434,ff
A1991,A2525,ff
A1991,A4814,ff
A1991,A3798,ff
A1991,A867,ff
A1991,A4240,ff
A1991,A3605,ff
A1991,A3555,ff
A1991,A212,ff
A3131,A1841,ff
A1991,A2651,ff
A1991,A315,ff
A1991,A6050,ff
A5270,A1504,ff
A1991,A2841,ff
A1991,A1159,ff
A1991,A3618,ff
A1991,A951,ff
A1991,A5215,ff
A1991,A6288,ff
A1991,A4448,ff
A3434,A5989,ff
A2155,A2326,ff
A3852,A3829,ff
A3804,A2260,ff
A3626,A4814,ff
A3626,A2577,ff
A3626,A3798,ff
A3626,A5169,ff
A996,A3650,ff
A3626,A2326,ff
A494,A197,ff
A5101,A5788,ff
A5101,A716,ff
A5101,A1159,ff
A1494,A3798,ff
A2751,A3798,ff
A1440,A2675,ff
A1440,A3798,ff
A1440,A4291,ff
A1440,A5989,ff
A6029,A4671,ff
A4063,A5391,ff
A152,A2214,ff
A4063,A891,ff
A4063,A694,ff
A1098,A2043,ff
A6154,A2525,ff
A6154,A3798,ff
A6154,A5368,ff
A3587,A3568,ff
A4796,A100,ff
A4594,A2550,ff
A4796,A5989,ff
A4796,A3206,ff
A4796,A1358,ff
A6375,A4240,ff
A4594,A5442,ff
A4796,A5135,ff
A4796,A3618,ff
A4796,A4784,ff
A4796,A4983,ff
A6250,A410,ff
A4796,A1485,ff
A3549,A1046,ff
A2117,A4413,ff
A4796,A4100,ff
A6118,A2188,ff
A3316,A2488,ff
A3316,A3798,ff
A3316,A6035,ff
A3316,A1697,ff
A3316,A100,ff
A3316,A2084,ff
A3316,A5072,ff
A3316,A4270,ff
A768,A716,ff
A6151,A716,ff
A5906,A4814,ff
A5906,A5319,ff
A5906,A3798,ff
A5906,A4240,ff
A5906,A5949,ff
A5906,A3605,ff
A5906,A5788,ff
A5906,A3555,ff
A5906,A1632,ff
A5906,A3512,ff
A5906,A3291,ff
A2117,A25,ff
A2117,A5502,ff
A2117,A3638,ff
A2117,A2240,ff
A5882,A4809,ff
A5882,A5510,ff
A5882,A2845,ff
A2558,A3798,ff
A2558,A2043,ff
A2558,A716,ff
A3271,A4902,ff
A2558,A5989,ff
A2558,A3571,ff
A2558,A414,ff
A2558,A1864,ff
A2558,A2747,ff
A2558,A4459,ff
A2558,A5189,ff
A3389,A3798,ff
A3389,A2743,ff
A2691,A3798,ff
A5863,A5989,ff
A1415,A3798,ff
A3520,A3587,ff
A3520,A3852,ff
A3520,A145,ff
A3520,A1618,ff
A3520,A3798,ff
A3520,A1975,ff
A177,A5105,ff
A3520,A5368,ff
A3520,A1741,ff
A3520,A3396,ff
A3520,A3460,ff
A3520,A2672,ff
A3520,A1805,ff
A3520,A5788,ff
A3520,A3555,ff
A3520,A4372,ff
A3520,A5135,ff
A1599,A3291,ff
A1173,A5788,ff
A1173,A1367,ff
A1173,A4285,ff
A1173,A4206,ff
A1173,A1458,ff
A1173,A3696,ff
A1173,A1159,ff
A1173,A648,ff
A1173,A3300,ff
A4679,A3613,ff
A1173,A4100,ff
A4678,A795,ff
A1173,A2912,ff
A1173,A472,ff
A3949,A3852,ff
A3949,A3798,ff
A3949,A4240,ff
A3949,A5989,ff
A3949,A1585,ff
A3949,A3618,ff
A1127,A40,ff
A1827,A3798,ff
A1827,A716,ff
A1827,A3618,ff
A2075,A3798,ff
A2075,A3618,ff
A3040,A4744,ff
A5830,A3028,ff
A4583,A3798,ff
A4583,A5989,ff
A4583,A944,ff
A2291,A3852,ff
A2291,A3798,ff
A2291,A25,ff
A2291,A5989,ff
A2291,A3571,ff
A5375,A795,ff
A5642,A2401,ff
A4332,A2533,ff
A4332,A1349,ff
A550,A6243,ff
A5759,A1466,ff
A5759,A3798,ff
A5759,A3658,ff
A5759,A4240,ff
A5759,A3512,ff
A5759,A5989,ff
A6085,A3798,ff
A6085,A1159,ff
A5686,A6373,ff
A5686,A3798,ff
A5686,A588,ff
A5686,A5989,ff
A671,A1580,ff
A671,A3798,ff
A671,A5419,ff
A671,A6125,ff
A671,A3618,ff
A671,A4011,ff
A3928,A3605,ff
A6230,A3852,ff
A6230,A2525,ff
A6230,A2046,ff
A6230,A3798,ff
A5359,A3798,ff
A5702,A534,ff
A5702,A3798,ff
A5702,A3259,ff
A5702,A1922,ff
A1148,A3798,ff
A6070,A2490,ff
A6070,A3798,ff
A6070,A5989,ff
A3541,A4685,ff
A3541,A337,ff
A3541,A1627,ff
A3541,A3798,ff
A3541,A3259,ff
A3541,A2698,ff
A3541,A716,ff
A3541,A5989,ff
A3541,A1797,ff
A3541,A699,ff
A3541,A3618,ff
A3541,A1695,ff
A3541,A3402,ff
A3541,A3291,ff
A6192,A3798,ff
A6172,A3852,ff
A6172,A3798,ff
A6172,A2109,ff
A6172,A4809,ff
A6172,A4240,ff
A6172,A3555,ff
A6172,A4888,ff
A6172,A5989,ff
A6172,A3618,ff
A2137,A3798,ff
A2137,A4240,ff
A2137,A2698,ff
A2137,A3605,ff
A837,A2324,ff
A2137,A5599,ff
A2137,A5989,ff
A2137,A1159,ff
A5938,A2533,ff
A5938,A3804,ff
A1259,A3989,ff
A5938,A1182,ff
A5938,A3798,ff
A5938,A2118,ff
A5938,A2317,ff
A1091,A3767,ff
A5938,A4108,ff
A5938,A2172,ff
A5938,A469,ff
A5938,A6099,ff
A5900,A4313,ff
A5938,A4686,ff
A5938,A2856,ff
A5938,A373,ff
A5938,A992,ff
A5938,A5682,ff
A4724,A5788,ff
A5938,A5447,ff
A4235,A3568,ff
A5938,A3899,ff
A5938,A581,ff
A4241,A3837,ff
A5938,A1250,ff
A5938,A6382,ff
A5938,A906,ff
A5938,A5943,ff
A5256,A4053,ff
A3444,A2937,ff
A1355,A3852,ff
A4679,A3434,ff
A4679,A3175,ff
A4679,A5365,ff
A4679,A3618,ff
A4679,A5070,ff
A4679,A1466,ff
A4679,A3492,ff
A4679,A4595,ff
A4679,A2786,ff
A4679,A2800,ff
A5067,A3444,ff
A2296,A5624,ff
A4679,A2469,ff
A4679,A473,ff
A4679,A4035,ff
A4679,A4685,ff
A4679,A3509,ff
A4679,A907,ff
A4679,A2675,ff
A4679,A3430,ff
A4679,A3044,ff
A4679,A4814,ff
A4679,A1721,ff
A4679,A3070,ff
A4679,A2577,ff
A5067,A2533,ff
A519,A1912,ff
A4679,A337,ff
A4679,A5221,ff
A4679,A4870,ff
A4679,A177,ff
A4679,A3374,ff
A4679,A3798,ff
A4679,A47,ff
A4679,A3647,ff
A4679,A3391,ff
A4679,A3411,ff
A4679,A5556,ff
A4679,A3230,ff
A4679,A643,ff
A4679,A5827,ff
A4679,A6375,ff
A4679,A1741,ff
A4679,A582,ff
A4679,A2397,ff
A4679,A5988,ff
A4679,A1505,ff
A4679,A2918,ff
A4679,A6395,ff
A4679,A2989,ff
A4679,A2238,ff
A3751,A4745,ff
A4679,A3159,ff
A4679,A2284,ff
A4679,A2402,ff
A4679,A5933,ff
A4679,A3958,ff
A4679,A4066,ff
A4679,A5779,ff
A4679,A3373,ff
A4679,A426,ff
A4679,A4618,ff
A4679,A5757,ff
A2317,A2533,ff
A4679,A323,ff
A4679,A6015,ff
A4679,A6275,ff
A4679,A5787,ff
A4679,A25,ff
A4679,A2521,ff
A4679,A4822,ff
A4679,A5400,ff
A4679,A6358,ff
A4679,A2883,ff
A4679,A3497,ff
A4679,A1983,ff
A4679,A2386,ff
A4679,A2257,ff
A4679,A3456,ff
A4679,A5639,ff
A4679,A3299,ff
A4679,A6181,ff
A4809,A4462,ff
A4679,A4888,ff
A4679,A5839,ff
A4679,A3607,ff
A4679,A4741,ff
A4679,A3903,ff
A4679,A2702,ff
A4679,A2923,ff
A4679,A4536,ff
A4679,A3261,ff
A4679,A1231,ff
A4679,A4708,ff
A4679,A2780,ff
A4679,A2108,ff
A3157,A3798,ff
A3157,A721,ff
A3157,A2845,ff
A3157,A3403,ff
A2296,A837,ff
A2296,A3852,ff
A2296,A2525,ff
A2296,A3798,ff
A2296,A1720,ff
A6141,A1805,ff
A6141,A1896,ff
A6141,A4794,ff
A4489,A25,ff
A6141,A1615,ff
A6141,A3605,ff
A5930,A3798,ff
A5930,A25,ff
A5643,A3798,ff
A4444,A3798,ff
A4444,A716,ff
A825,A952,ff
A4444,A5989,ff
A2882,A5989,ff
A2562,A3793,ff
A2562,A6322,ff
A1488,A5013,ff
A1510,A1597,ff
A1510,A1585,ff
A1510,A1570,ff
A1510,A5923,ff
A1510,A2492,ff
A1510,A5646,ff
A6227,A4218,ff
A6227,A2143,ff
A1173,A3587,ff
A1173,A5137,ff
A1173,A6257,ff
A1173,A3852,ff
A1173,A4678,ff
A1173,A3430,ff
A1173,A670,ff
A1173,A2644,ff
A1173,A1618,ff
A1173,A3798,ff
A1173,A1504,ff
A1173,A3927,ff
A1173,A5368,ff
A1173,A3271,ff
A1173,A1741,ff
A1173,A5113,ff
A1173,A828,ff
A1173,A4014,ff
A1173,A4794,ff
A1173,A5366,ff
A6230,A4821,ff
A6230,A1473,ff
A6230,A2647,ff
A6230,A1805,ff
A6230,A1291,ff
A6230,A2866,ff
A6230,A3605,ff
A6230,A5788,ff
A6230,A5303,ff
A6230,A5884,ff
A6230,A5704,ff
A6230,A2408,ff
A6230,A2841,ff
A6230,A1071,ff
A6230,A6090,ff
A5563,A3555,ff
A6230,A5337,ff
A494,A5599,ff
A3184,A1358,ff
A6230,A5599,ff
A6230,A5182,ff
A6230,A1759,ff
A6230,A3507,ff
A6230,A1773,ff
A6230,A2861,ff
A5900,A2866,ff
A5900,A3987,ff
A5900,A3233,ff
A5900,A264,ff
A5900,A3605,ff
A4679,A2370,ff
A4679,A5783,ff
A4679,A1752,ff
A4679,A5236,ff
A4679,A4725,ff
A4679,A372,ff
A4473,A5303,ff
A3006,A5989,ff
A2296,A1159,ff
A2296,A1585,ff
A2296,A3618,ff
A2296,A5365,ff
A2296,A1873,ff
A1618,A1041,ff
A2296,A1570,ff
A2296,A3571,ff
A2296,A1011,ff
A2296,A5679,ff
A6093,A4983,ff
A1852,A3852,ff
A2296,A952,ff
A2296,A5105,ff
A2296,A32,ff
A2296,A3580,ff
A5447,A6010,ff
A5086,A3798,ff
A5086,A5989,ff
A3229,A129,ff
A4814,A5039,ff
A3229,A431,ff
A3229,A5357,ff
A874,A1580,ff
A874,A6172,ff
A874,A5220,ff
A874,A3434,ff
A874,A2525,ff
A874,A6226,ff
A874,A4814,ff
A874,A337,ff
A874,A5288,ff
A874,A873,ff
A874,A4573,ff
A712,A26,ff
A2950,A3650,ff
A874,A4413,ff
A874,A3159,ff
A1481,A3798,ff
A874,A4839,ff
A874,A2207,ff
A2008,A3618,ff
A874,A3555,ff
A874,A5787,ff
A874,A6050,ff
A874,A716,ff
A874,A1940,ff
A874,A4222,ff
A874,A5117,ff
A874,A4888,ff
A874,A5989,ff
A874,A520,ff
A874,A5442,ff
A874,A213,ff
A874,A2173,ff
A874,A3618,ff
A874,A5372,ff
A874,A2492,ff
A874,A5167,ff
A1303,A1704,ff
A874,A5816,ff
A874,A3908,ff
A874,A1014,ff
A874,A5105,ff
A6141,A6257,ff
A6141,A837,ff
A5950,A3798,ff
A5950,A1673,ff
A5950,A1250,ff
A1303,A5989,ff
A5950,A2945,ff
A1121,A2525,ff
A1121,A3798,ff
A1121,A4240,ff
A1121,A615,ff
A1121,A5989,ff
A1121,A3618,ff
A4152,A570,ff
A632,A5989,ff
A3006,A3852,ff
A3006,A4280,ff
A3006,A6210,ff
A1303,A2484,ff
A3006,A1466,ff
A3006,A3492,ff
A3006,A5319,ff
A3006,A3798,ff
A3006,A2479,ff
A4335,A3798,ff
A3006,A866,ff
A3006,A516,ff
A4679,A984,ff
A4679,A319,ff
A4679,A3009,ff
A4679,A1636,ff
A4679,A4949,ff
A4679,A4809,ff
A4679,A2845,ff
A4679,A1377,ff
A4679,A24,ff
A4679,A5551,ff
A4679,A2194,ff
A4679,A828,ff
A4679,A2809,ff
A4679,A4412,ff
A4679,A5244,ff
A4679,A3279,ff
A4679,A3457,ff
A4679,A409,ff
A4679,A1805,ff
A4679,A1644,ff
A4679,A1635,ff
A4679,A6390,ff
A4679,A3317,ff
A4679,A4767,ff
A4679,A5655,ff
A4679,A2950,ff
A4679,A2698,ff
A4679,A275,ff
A4679,A3905,ff
A4679,A6361,ff
A5319,A1088,ff
A4679,A4008,ff
A4679,A5809,ff
A2474,A2363,ff
A2474,A3798,ff
A5447,A4108,ff
A2474,A5989,ff
A2474,A1519,ff
A2474,A5442,ff
A2474,A3183,ff
A2474,A5717,ff
A2474,A1330,ff
A2474,A802,ff
A1591,A1382,ff
A2474,A5923,ff
A2474,A2592,ff
A2474,A3526,ff
A2474,A4011,ff
A2601,A5993,ff
A2601,A3320,ff
A2601,A3902,ff
A2601,A6050,ff
A2601,A716,ff
A2601,A3299,ff
A907,A2401,ff
A5140,A3798,ff
A5140,A716,ff
A5140,A5989,ff
A4511,A2296,ff
A4511,A3798,ff
A4511,A3394,ff
A4511,A582,ff
A4511,A5989,ff
A4511,A626,ff
A991,A3798,ff
A991,A2672,ff
A4708,A3989,ff
A991,A3618,ff
A5401,A3798,ff
A5401,A3555,ff
A1580,A4412,ff
A5401,A716,ff
A5401,A1159,ff
A194,A1915,ff
A194,A3411,ff
A194,A1697,ff
A194,A2484,ff
A194,A3672,ff
A2185,A6259,ff
A2185,A2205,ff
A2185,A3795,ff
A2185,A3,ff
A2185,A5776,ff
A2185,A815,ff
A5157,A2531,ff
A5157,A2145,ff
A5157,A3852,ff
A5157,A2525,ff
A5157,A6309,ff
A5157,A3798,ff
A5157,A1586,ff
A5157,A3650,ff
A5157,A4821,ff
A5157,A4939,ff
A5157,A739,ff
A5157,A5630,ff
A5157,A5681,ff
A5157,A2550,ff
A5157,A1159,ff
A5157,A6045,ff
A3804,A2937,ff
A404,A3555,ff
A5157,A4983,ff
A947,A3800,ff
A947,A2342,ff
A1915,A3798,ff
A5037,A3798,ff
A5037,A1081,ff
A1149,A6012,ff
A1720,A5989,ff
A5037,A4809,ff
A5037,A5380,ff
A3095,A4154,ff
A3095,A3798,ff
A3095,A2950,ff
A3095,A5787,ff
A3095,A25,ff
A3095,A5989,ff
A3095,A5442,ff
A3095,A2713,ff
A3095,A5449,ff
A3095,A1420,ff
A3095,A3618,ff
A665,A4886,ff
A3095,A1825,ff
A3095,A247,ff
A3687,A3798,ff
A3687,A716,ff
A597,A3798,ff
A597,A5989,ff
A597,A3571,ff
A1975,A3175,ff
A4094,A716,ff
A5153,A6207,ff
A5153,A802,ff
A5153,A5674,ff
A3823,A2301,ff
A2430,A3798,ff
A2430,A494,ff
A2430,A2682,ff
A2430,A1925,ff
A374,A311,ff
A374,A6183,ff
A374,A3798,ff
A374,A3259,ff
A374,A3555,ff
A374,A716,ff
A374,A5981,ff
A374,A4914,ff
A374,A3028,ff
A374,A3643,ff
A374,A4836,ff
A374,A5234,ff
A374,A4655,ff
A562,A3798,ff
A562,A1358,ff
A3831,A716,ff
A3831,A1559,ff
A2691,A716,ff
A5546,A5989,ff
A5546,A2084,ff
A5546,A5072,ff
A1516,A3798,ff
A1516,A3009,ff
A1516,A5989,ff
A5165,A2605,ff
A1516,A954,ff
A1556,A3798,ff
A2807,A2468,ff
A1833,A3798,ff
A3519,A3798,ff
A1833,A3151,ff
A1833,A25,ff
A1833,A5989,ff
A1833,A2633,ff
A1833,A4480,ff
A1833,A4011,ff
A3765,A3618,ff
A2475,A3798,ff
