source,target,Kind
A5546,A1194,tw
A5546,A3817,tw
A5546,A2041,tw
A1358,A1496,tw
A5546,A5589,tw
A5546,A5072,tw
A5546,A5275,tw
A1516,A4543,tw
A1516,A954,tw
A1556,A5638,tw
A2575,A6387,tw
A2575,A3054,tw
A2575,A140,tw
A2575,A952,tw
A2575,A1864,tw
A1806,A2740,tw
A1806,A3187,tw
A1806,A4664,tw
A1806,A2436,tw
A1806,A3984,tw
A1806,A1712,tw
A1806,A1635,tw
A1806,A3939,tw
A1806,A3030,tw
A1806,A1527,tw
A1806,A1,tw
A1806,A354,tw
A1806,A800,tw
A1806,A5217,tw
A1806,A2293,tw
A1806,A3093,tw
A1806,A3677,tw
A1806,A416,tw
A1806,A970,tw
A1806,A5678,tw
A1806,A389,tw
A1806,A1966,tw
A381,A6141,tw
A381,A3852,tw
A381,A2525,tw
A381,A4243,tw
A381,A4814,tw
A381,A3070,tw
A381,A1975,tw
A381,A69,tw
A381,A2904,tw
A381,A6302,tw
A381,A3271,tw
A381,A4105,tw
A564,A3806,tw
A381,A5732,tw
A381,A458,tw
A381,A4039,tw
A381,A6268,tw
A381,A6189,tw
A381,A4839,tw
A381,A3247,tw
A381,A1401,tw
A381,A1273,tw
A381,A4747,tw
A381,A5182,tw
A381,A5178,tw
A381,A4708,tw
A381,A2444,tw
A171,A4280,tw
A3949,A3184,tw
A381,A4306,tw
A381,A4653,tw
A514,A3961,tw
A2575,A4742,tw
A2575,A4796,tw
A2575,A3685,tw
A2575,A1510,tw
A2575,A6141,tw
A2575,A6376,tw
A2575,A4594,tw
A2575,A4101,tw
A2575,A288,tw
A2575,A1429,tw
A2575,A3852,tw
A2575,A5568,tw
A2575,A5034,tw
A2575,A1845,tw
A2575,A1303,tw
A2575,A3674,tw
A2575,A907,tw
A2575,A6313,tw
A2575,A458,tw
A2575,A5093,tw
A2575,A3281,tw
A2575,A1377,tw
A2575,A3409,tw
A2575,A2672,tw
A2575,A1768,tw
A2575,A4839,tw
A2575,A5397,tw
A2575,A355,tw
A2575,A5122,tw
A2575,A2410,tw
A2575,A3701,tw
A2575,A4240,tw
A2575,A6140,tw
A3833,A1764,tw
A4742,A4274,tw
A4742,A582,tw
A4742,A3479,tw
A4742,A3166,tw
A4742,A5732,tw
A4232,A2952,tw
A4742,A458,tw
A4742,A6189,tw
A4742,A2328,tw
A1466,A1764,tw
A4742,A4839,tw
A4742,A4240,tw
A4742,A4189,tw
A4742,A3605,tw
A4742,A3902,tw
A4742,A1632,tw
A4742,A3512,tw
A4742,A1088,tw
A4742,A3565,tw
A4742,A6333,tw
A4742,A4055,tw
A4816,A485,tw
A4742,A2442,tw
A4742,A6365,tw
A2644,A3291,tw
A4742,A4788,tw
A4742,A4407,tw
A4742,A5365,tw
A4742,A2598,tw
A4742,A4963,tw
A4742,A3300,tw
A4742,A4100,tw
A5270,A2402,tw
A4742,A241,tw
A4742,A5908,tw
A2008,A167,tw
A3326,A4433,tw
A3326,A921,tw
A3326,A612,tw
A5530,A1466,tw
A256,A1553,tw
A256,A514,tw
A256,A3647,tw
A256,A2588,tw
A1610,A3321,tw
A256,A190,tw
A3431,A3366,tw
A3852,A6330,tw
A847,A2262,tw
A847,A4800,tw
A847,A5134,tw
A3571,A597,tw
A847,A1029,tw
A1051,A29,tw
A6356,A1721,tw
A6356,A3564,tw
A6356,A802,tw
A6356,A1565,tw
A592,A4594,tw
A592,A2332,tw
A592,A4948,tw
A592,A1862,tw
A592,A1539,tw
A592,A4149,tw
A592,A4479,tw
A1356,A921,tw
A1356,A4582,tw
A1356,A3909,tw
A1356,A5015,tw
A1356,A1465,tw
A1356,A2890,tw
A5574,A266,tw
A3917,A3197,tw
A2474,A6376,tw
A932,A1284,tw
A2474,A5717,tw
A2474,A3303,tw
A2474,A5341,tw
A2474,A3526,tw
A2601,A1800,tw
A2601,A4463,tw
A2601,A5993,tw
A2601,A4494,tw
A2601,A937,tw
A2601,A3902,tw
